id,name,value
a70a1053-3422-4b76-881c-b3eb2aead463,__S_IFBLK,"0060000
"
03d0e3ff-40e7-4774-9d1b-0d7ee52ab1a7,DatumGetByteaP(X),((bytea
2b9dd26d-6042-41f4-9938-c0f82477ac85,SOL_LLC,"268
"
f01a2842-0bce-4a6a-8ea5-92abf79315f4,REGCOLLATIONOID,"4191
"
26540bab-c311-4c08-89fa-79288a41a954,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
9266681a-5730-470b-aaf9-d38c21e26274,BootstrapTransactionId,((TransactionId)
507ee690-bec7-4413-b05c-f099389fa671,DATEMULTIRANGEOID,"4535
"
18589cee-bf6e-49f1-ade5-b9d0f5dd7735,__SSP_STRONG__,"3
"
3ae17db3-bde3-4a9f-b7fd-35bffe34abae,__attr_access(x),__attribute__
90505b4a-907a-4174-bf28-8623e48d6497,ERRCODE_INVALID_JSON_TEXT,"MAKE_SQLSTATE('2','2','0','3','2')
"
20e798f2-ad8e-4519-bb2d-2ea1cc1e7c23,__DBL_MIN_EXP__,"(-1021)
"
5f7e6185-4d19-43be-8687-5885110cb888,EMULTIHOP,"72
"
f601b5b5-4d2e-4883-ba75-c99a332fb814,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
7b646db7-d949-4553-b2c2-b92516df95bd,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
4cedd8da-6fa8-4cb1-979d-fbb92864f649,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
44a3c1a6-3b09-4dd9-a99b-39dd859d4cdd,AT_STATX_SYNC_AS_STAT,"0x0000
"
c77fd6b9-ab52-4fd0-828a-c14057bca571,STATUS_EOF,"(-2)
"
8f9c1dd3-a4fd-4a51-adab-0c27aacf079c,AF_MAX,"PF_MAX
"
dcf81cac-e6a8-4bd9-979e-c371d9742019,_SC_PII,"_SC_PII
"
03fceaf3-d987-4872-92e1-f39c2a29b465,__CFLOAT32,_Complex
e9413ffe-f896-4df7-a7aa-20f51ef42cce,__UINT_LEAST16_MAX__,"0xffff
"
acaf59eb-4d37-422b-a1c1-91cd9a473b50,F_SET_RW_HINT,"1036
"
15f5125b-9e4c-463f-8195-623fbe9f6b29,IP_ROUTER_ALERT,"5
"
