id,name,value
331e655d-717f-4e53-8ccd-cbf1fd672b97,__S_IFBLK,"0060000
"
bf3e54fd-84b3-4e6b-9322-a2112ddf8046,DatumGetByteaP(X),((bytea
47c620a3-172b-4851-b73d-1de0a52eb200,Anum_pg_index_indisready,"12
"
15e2dc9b-e085-40fb-bca7-06e627c7c2dc,SOL_LLC,"268
"
56f2ef5c-e246-4024-8834-8a71b0a06bdd,BootstrapTransactionId,((TransactionId)
dcc5f9d1-8544-400f-88ae-54e794dbc0d5,__SSP_STRONG__,"3
"
4d029131-b2a1-4ffa-8e71-2e3554b02939,__attr_access(x),__attribute__
2afe58ce-ba51-49cd-b304-3d7b4decfcba,ERRCODE_INVALID_JSON_TEXT,"MAKE_SQLSTATE('2','2','0','3','2')
"
9936fd15-9d2f-4057-9044-78a039d9f5dd,__DBL_MIN_EXP__,"(-1021)
"
a238d1f9-a672-4f7f-bbba-5a8eb2e1989c,RELKIND_PARTITIONED_INDEX,"'I'
"
815f9e79-0338-4b06-8c63-83970e128a92,EMULTIHOP,"72
"
b15c416b-d713-466a-813f-18f48a543bba,ERRCODE_AMBIGUOUS_COLUMN,"MAKE_SQLSTATE('4','2','7','0','2')
"
8ae420ba-7321-4a6c-b4ed-98a84237e3f7,ERRCODE_DUPLICATE_ALIAS,"MAKE_SQLSTATE('4','2','7','1','2')
"
c02b293c-9e80-4968-8232-f7d8de236d8e,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
00942bd8-c8df-4590-bf66-63f990880719,slist_check(head),((void)
e0c8313a-8b8b-43f2-8f58-12dad0e87ca7,STATUS_EOF,"(-2)
"
a22aa2a0-d177-4d7c-8e53-ae6176664367,MAX_FORKNUM,"INIT_FORKNUM
"
5a490895-64f4-446b-97ca-51cd4f157159,AF_MAX,"PF_MAX
"
254d0404-8f6a-4c2a-959e-4582f3325643,__CFLOAT32,_Complex
8f672808-3448-43c2-9222-a71c3faec189,__UINT_LEAST16_MAX__,"0xffff
"
65c09223-8b48-4124-b9ae-6915beb502cc,IP_ROUTER_ALERT,"5
"
60518366-e43b-4f6c-98bc-dbd256828264,"forboth_ptr(var1,l1,var2,l2)",for
0d16a15a-395c-4411-850c-aa88e77fcafa,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
0fd7a895-87ab-4a46-94d0-deccf6f6b585,IPV6_RECVPATHMTU,"60
"
e1f82fe3-74c7-4df2-8db4-44ff7f7c5536,__FLT128_MAX_10_EXP__,"4932
"
53b6b262-62d1-4f36-bab2-86e6f499d91f,OPCLASS_ITEM_STORAGETYPE,"3
"
06a007f3-ebbc-4ec2-b596-8d31948a8fef,BackendIdForTempRelations(),(ParallelLeaderBackendId
48c32887-bf10-4b77-89ad-cd882a3653ec,XLOG_MARK_UNIMPORTANT,"0x02
"
340e332e-e5ac-4426-9146-7612b99e7dd2,ILIST_H,"
"
d5c9416b-60fb-4c00-9af4-e6b950ba52d5,__NFDBITS,(8
3530c441-9417-4059-95a4-736e0b574efa,"__glibc_fortify_n(f,__l,__s,__osz,...)",(__glibc_safe_or_unknown_len
7bb4128d-70de-49bb-89f5-82c2775e8d20,USE_LLVM,"1
"
ce0ea808-2fe5-4ef3-bf54-7da9695562c4,_T_WCHAR_,"
"
80e1b744-c342-4f74-8e0b-1759e567cab5,RWH_WRITE_LIFE_SHORT,"2
"
02a0d895-12ae-47b2-afc9-c8ef98b078a2,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
9d018efe-60fa-41c3-82f4-5ad86beb8b65,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
e31ee728-5a98-4271-91ce-fbcfa0525483,NI_MAXSERV,"32
"
382d70db-e823-474d-94bf-3f4cf310d441,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
6a9c2696-6963-478d-a49a-8ee978860e32,restrict,"__restrict__
"
049f40d9-bc69-4034-8fed-61efc5e0f7ca,__CFLOAT64,_Complex
e8c6cb63-41c5-48b4-8c1b-ec3bf21a49b9,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
be1e41b9-e322-418c-add7-ed6d93a5e124,__S64_TYPE,long
cc4f7076-5ff0-4d1c-90fe-768184751eee,_PRINTF_NAN_LEN_MAX,"4
"
836ce3c2-ba0e-4171-9988-b92bdebb4b6c,PG_BINARY_R,"""r""
"
1c79e470-c7ce-4c0e-8bd1-32e3f9e4e4ac,__FLT_MAX_EXP__,"128
"
7251ff44-7e89-46c1-a316-1194f53a6151,PG_BINARY_W,"""w""
"
160daf49-cfd6-4fe2-9ce3-6af02e21e41e,__SQUAD_TYPE,long
627d5b52-323f-40e6-96ff-49741850741a,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
ae5cdade-a609-4994-ba5b-e10f9c171207,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
c2e76a03-b152-4616-a183-4000d85f67ab,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
f3147fc8-ca22-485a-9d83-4be9bd78d268,_BSD_SIZE_T_DEFINED_,"
"
aead67bf-3178-48fc-af4d-cc469136117f,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
2c8032f4-8a03-44b6-b3eb-afc34ca7b071,CONFIGURE_ARGS,""""
e9ed02b9-52bc-454a-9c73-6f7416f8cfdd,DatumGetBpCharP(X),((BpChar
62e4e279-54ac-4950-8a1d-9dfd4e652444,__CHAR_BIT__,"8
"
2e1e20d5-4974-4a9c-81b4-b8d102082ec4,SO_DOMAIN,"39
"
36e44ad2-f69e-481d-8b27-7d82c637acc2,HTUP_H,"
"
41d90697-e3d7-47a3-8c89-da7b473fb2c2,USE_OPENSSL,"1
"
3ec4b9d1-cfee-41f4-bb25-24753246392d,SHORTALIGN(LEN),"TYPEALIGN(ALIGNOF_SHORT,"
b4bf8945-73ae-4008-b9cb-4072bb3ce2d7,ARR_HASNULL(a),((a)->dataoffset
afcdd8e8-29b3-4445-962a-08f07a70fb95,EREMCHG,"78
"
9bda9051-7fa8-41ab-bb39-313256ef468f,RELKIND_PARTITIONED_TABLE,"'p'
"
104d0c50-196c-42b2-ab25-a2cae110ebf9,PG_VERSION_STR,"""PostgreSQL"
cfaece54-6f25-4a96-a9d6-32355711eeef,HASH_KEYCOPY,"0x0100
"
6bf48954-91f2-4235-bf4d-c518feb15834,EACCES,"13
"
55ca92de-ee25-4f7b-9564-c0312f2a8fd8,SOCK_RAW,"SOCK_RAW
"
7b200c8e-aa3d-467e-8c0e-5f98b70f8210,PG_GETARG_BOOL(n),"DatumGetBool(PG_GETARG_DATUM(n))
"
09d7df28-8a7d-4323-aa4b-7c8fa8b71538,"__isupper_l(c,l)","__isctype_l((c),"
bfa018af-beae-4741-8713-1a5389f7392c,EDESTADDRREQ,"89
"
6d16633f-ba30-412a-9ec7-4b855dfed3fe,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
3fa740c5-b9d0-4af7-9b12-c6b6312ea934,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
27d2b7cb-0814-4af1-8189-d4c0c24b1f57,SPLICE_F_GIFT,"8
"
ee4078b2-2d57-49a4-b57d-c9ab9e0f1117,FIELDNO_NULLABLE_DATUM_DATUM,"0
"
c495b073-400e-4b29-aba0-96310a17e946,pg_attribute_cold,"__attribute__((cold))
"
7f7714aa-2c8d-4e75-876a-c35f3a93fcca,ERRCODE_DATA_EXCEPTION,"MAKE_SQLSTATE('2','2','0','0','0')
"
0f13832e-e235-4eed-b69d-52321454c675,PG_DIAG_STATEMENT_POSITION,"'P'
"
e8b97e7e-fa7c-4d33-bc01-9e108b139c91,PIPE_BUF,"4096
"
57f9047d-701c-4055-8956-68d20ce5faa1,PG_MINORVERSION_NUM,"5
"
4ebd93c5-2aa3-40d3-837b-73eecb150ec3,IP_TTL,"2
"
9b25d90c-f9f5-4fd8-954c-6c0f78c4755d,DatumGetArrayTypeP(X),((ArrayType
286cb09e-92a9-41cb-8c1f-2573c9cb7d73,UInt64GetDatum(X),((Datum)
c17034bd-d097-40fe-a43c-a1794516d448,IPV6_JOIN_ANYCAST,"27
"
8ae140b1-b94c-43d4-b151-e6fb654751c7,stderr,"stderr
"
700a16af-edd2-42cc-9304-df46a5518063,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
d6e63940-b10d-4c0d-9463-ed4652751c1f,__USE_XOPEN2KXSI,"1
"
03fb26c6-9341-4eb6-b5ff-b27e8c779e00,RWH_WRITE_LIFE_EXTREME,"5
"
fb60956d-3d01-4dbc-8e36-041273316bad,BKPBLOCK_HAS_DATA,"0x20
"
56e4fb77-d89a-4bd7-8418-c049a5af476a,PRIiLEAST8,"""i""
"
3c5833ee-22d4-4d1a-a925-766d0743e70d,SOCK_RDM,"SOCK_RDM
"
12d03fcc-3313-470e-b497-e864f445b2f2,Int8GetDatum(X),((Datum)
b249decc-dcb4-4b4f-93d3-81b5dd29e3cc,DT_LNK,"DT_LNK
"
0fdb802e-5d01-45ea-a479-e0cd84a09b46,ERRCODE_TRANSACTION_ROLLBACK,"MAKE_SQLSTATE('4','0','0','0','0')
"
208bf212-b500-468b-a05f-633a43230bce,PF_DECnet,"12
"
26bdcb3f-d118-4ef1-8a54-95b35aa80b6e,IPV6_CHECKSUM,"7
"
16f99fa1-470f-44ed-b6d1-c9960cc0907a,EMLINK,"31
"
