id,name,value
fcfb60d2-2db9-477b-8818-f95694dcff31,__S_IFBLK,"0060000
"
61c74666-d16a-4d7d-855b-ea596f4db2b5,DatumGetByteaP(X),((bytea
1c6428f6-1188-41a9-a8cd-b33e27d93b1f,Anum_pg_index_indisready,"12
"
ba8f1cd3-72a4-4c31-92f1-1935cd7b299c,GUC_SUPERUSER_ONLY,"0x0100
"
75626473-28a0-4a3e-8c42-ffdfda9190ba,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
07be8e11-074e-461d-ab6d-9b8fe65f26bb,UNIX_EPOCH_JDATE,"2440588
"
97874e99-561e-47ed-bffb-ba98846862b7,BootstrapTransactionId,((TransactionId)
94c5c3e7-081e-441b-993a-41d8d52bbab6,DATEMULTIRANGEOID,"4535
"
48900599-9bf6-48a3-a8d3-0e604a87584f,__SSP_STRONG__,"3
"
89ba2f75-a785-4f77-968a-d5bcfaa8a55c,__attr_access(x),__attribute__
20cf1be3-22be-442c-ae0a-cfe6ffed46c0,IPV6_2292HOPOPTS,"3
"
9fcd8253-12e3-4c26-93df-75d143c59c60,ALLOCSET_DEFAULT_MAXSIZE,(8
57f956c9-7154-49e3-a9ca-59dc6a7455c7,"SET_LOCKTAG_RELATION_EXTEND(locktag,dboid,reloid)",((locktag).locktag_field1
a8de3de1-cdb2-4c8b-9623-5c71db896f06,AT_STATX_SYNC_AS_STAT,"0x0000
"
e7ee3765-25ed-4bfe-a163-dfd6e6e3b38f,STATUS_EOF,"(-2)
"
099f4f9e-5edf-41cf-b47d-5d90cb54649c,AF_MAX,"PF_MAX
"
bea4e041-030b-45d6-9ea5-4e27ae6fba93,_SC_PII,"_SC_PII
"
769ddb7e-cd64-4030-978f-a2ad8f262cc8,ERRCODE_INVALID_DATABASE_DEFINITION,"MAKE_SQLSTATE('4','2','P','1','2')
"
d0f98d5e-56ac-48aa-a64a-bd18f0d1b09c,__UINT_LEAST16_MAX__,"0xffff
"
dbd9c5db-ef52-4afe-8df7-3c9a7a8361d9,IP_ROUTER_ALERT,"5
"
7e40be32-4e8d-4b44-8146-f0a8d7df8329,"CMSG_NXTHDR(mhdr,cmsg)",__cmsg_nxthdr
3a8c4af1-e319-4af6-84a4-175f8284e53b,RE_DUP_MAX,"(0x7fff)
"
6764d4c5-add7-4da4-ac86-ee0379ce313b,SVE_SIG_REGS_OFFSET,((sizeof(struct
51a8ba7b-df2d-4f8e-84c2-f116b344a98d,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
4fafb639-3aae-4309-a6c9-efe6e89c0adc,sa_sigaction,"__sigaction_handler.sa_sigaction
"
14edf9cd-e0bc-4921-8f97-65fe045a3bcf,XLOG_MARK_UNIMPORTANT,"0x02
"
96adf84b-8778-4d09-81c2-9ed20f1fe895,ILIST_H,"
"
18a4d01f-0bd8-4bd6-a159-718513a9b0a4,"fcGetArgNull(fc,n)","((fc)->args[n].isnull)
"
5c2f11c6-86f4-4829-9a3d-c174b270cb70,LIBPQ_HAS_PIPELINING,"1
"
2f2791c0-41ef-4a35-b98a-54e4affdd3e6,PG_GETARG_VARCHAR_PP(n),"DatumGetVarCharPP(PG_GETARG_DATUM(n))
"
8370f76a-9706-43a9-9845-3c606d2a718c,__NFDBITS,(8
82efd334-1974-4b11-a691-e65cce3f1caa,_PC_MAX_INPUT,"_PC_MAX_INPUT
"
fa6b1d6d-bede-401f-8c12-95c975091745,si_fd,"_sifields._sigpoll.si_fd
"
eb538a5b-aa51-4a14-b8f6-079a75d60039,USE_LLVM,"1
"
53eb9217-b5e5-40cc-b279-eef7c10239f4,_T_WCHAR_,"
"
cb6b7e43-ac5a-4ffa-b738-785645fece33,IS_VALID_DATE(d),((DATETIME_MIN_JULIAN
6f8f158d-16e9-43a7-8bbc-5d4d597ac9e3,NI_MAXSERV,"32
"
1154b2f7-2ca1-4e2a-8c75-85d676c3a268,ERRCODE_CONNECTION_DOES_NOT_EXIST,"MAKE_SQLSTATE('0','8','0','0','3')
"
87c688b8-1019-44c1-86ec-27571cbbe70f,ERRCODE_RESERVED_NAME,"MAKE_SQLSTATE('4','2','9','3','9')
"
9bd62362-64f3-4f61-a64b-48c063130d1a,ERRCODE_READ_ONLY_SQL_TRANSACTION,"MAKE_SQLSTATE('2','5','0','0','6')
"
3882daea-0532-4672-acb0-21ea08dbbb59,PG_BINARY_A,"""a""
"
5a75cea7-f8ec-40ed-aabb-013112563fe7,XLOG_XACT_OPMASK,"0x70
"
e697216b-68d3-4c21-9ffc-b2d075ce5ddb,LockHashPartitionLockByIndex(i),(&MainLWLockArray[LOCK_MANAGER_LWLOCK_OFFSET
3bbd7106-a7de-48bf-85a7-c7532b05c88e,_PRINTF_NAN_LEN_MAX,"4
"
5b1c5e44-2b9e-4bab-846e-0679ab05d979,PG_BINARY_R,"""r""
"
46ee05a1-1bb0-4900-93c1-9b82d4318146,PG_BINARY_W,"""w""
"
aa8dab69-7557-4a94-9786-b23471feef80,INTSTYLE_POSTGRES,"0
"
49e34251-3089-4321-a05a-35aca8d2fb3f,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
8af7831c-1e8f-4bcc-af31-46b9ccdc7a00,"PG_GETARG_EXPANDED_ARRAYX(n,metacache)","DatumGetExpandedArrayX(PG_GETARG_DATUM(n),"
3d7e838b-d259-4d9c-8dfd-20eb5fd4a444,GUC_UNIT_MB,"0x4000
"
33d7e925-64e7-41e7-b9ba-4ba2ed13c925,ERRCODE_INVALID_ARGUMENT_FOR_NTILE,"MAKE_SQLSTATE('2','2','0','1','4')
"
a3616860-579a-473e-b35f-274f6b90cd27,__GNU_LIBRARY__,"6
"
1c677c95-5cdb-448f-b7f7-243b423d7b99,NL_NMAX,"INT_MAX
"
52c5e355-c0c7-49a0-955b-2f317ee703c4,GUC_UNIT_MS,"0x10000
"
4de65138-cc29-4177-ac86-5f18c09656e3,ERRCODE_SINGLETON_SQL_JSON_ITEM_REQUIRED,"MAKE_SQLSTATE('2','2','0','3','8')
"
e68e179a-2940-4171-b0f6-87b2487b7ff7,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
412dcb0b-ba67-4f7e-9755-ec38ccedc89f,XACT_FLAGS_NEEDIMMEDIATECOMMIT,(1U
f0bf5abe-d94b-49a7-9a84-532575359eee,CONFIGURE_ARGS,""""
7cda59e8-e4ff-4754-82ef-c61f24e35950,CLOCK_THREAD_CPUTIME_ID,"3
"
0e7db777-a8f0-4862-81a8-135ecb8086e9,HTUP_H,"
"
cb72a49f-b7c4-4774-af29-3171727bcd39,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
17935675-9a9c-4cdb-98ce-6ad7da0f1606,SO_NOFCS,"43
"
cc356952-8546-4f49-a2bf-6e624bf315dc,PG_RETURN_UINT32(x),return
50add5fa-694f-414e-ad86-1a723d64e25f,SOCK_RAW,"SOCK_RAW
"
c33b50b7-c335-4d1a-bfb5-3a841082428f,EDESTADDRREQ,"89
"
a97e2749-6c2a-4498-ab20-f0cdff1c4768,ERRCODE_NO_SQL_JSON_ITEM,"MAKE_SQLSTATE('2','2','0','3','5')
"
c2c90e46-d859-4196-9150-94eaeb5933f6,AMFLAG_HAS_TID_RANGE,(1
b3bbcb12-a788-406a-9a75-03d4fa4ea7e6,ERRCODE_INVALID_TEXT_REPRESENTATION,"MAKE_SQLSTATE('2','2','P','0','2')
"
b10d5c41-2aae-442d-a218-5c7f3e8a99d0,FIELDNO_MINIMALTUPLETABLESLOT_TUPLE,"1
"
62473766-ef9f-4e2f-a321-91fa97e6e5b9,si_pid,"_sifields._kill.si_pid
"
061e3b09-1281-48e5-86b5-872bb71fa400,_SC_XBS5_ILP32_OFF32,"_SC_XBS5_ILP32_OFF32
"
a8d86187-cb4b-46d8-888c-b0180ac56024,PG_MINORVERSION_NUM,"5
"
d5a2be45-cf0a-48d0-8200-1cfebdb7d94c,REGOPEROID,"2203
"
ccd1154f-719d-4d93-84b7-8120de9b4bee,RECORDARRAYOID,"2287
"
457d13e8-7dc1-4018-b48e-8a8accc2b0b9,IPV6_ADDRFORM,"1
"
