id,name,value
0cd32bfc-41a3-49bb-a3f6-7a7ab20c0277,_XOPEN_XPG3,"1
"
ec0aa6e2-7a88-4e9b-918c-3fd728a0fa65,IW_HTOIL(num_),"(num_)
"
608fa3c4-a7cd-4a7f-a495-de22a5f9fa9c,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
cd129ad5-d339-4916-9ac3-d3b812b29910,IW_HTOIS(num_),"(num_)
"
b6eeea9b-f3ce-4a50-89c4-0ff5c525ab31,__DECL_SIMD_erff64,"
"
07f87727-2beb-4a0d-b89f-779185cf4cf1,__DECL_SIMD_hypot,"
"
ee97eedb-0a6f-4985-9139-4fdb2d212540,__SSP_STRONG__,"3
"
31f242b9-7562-4ba7-b295-249612e349d6,__attr_access(x),__attribute__
ddf40ecd-8721-4691-86c7-75931575b6cb,__DBL_MIN_EXP__,"(-1021)
"
51203bc2-1e8c-421f-9869-c5e02581bd49,IWKV_RDONLY,((iwkv_openflags)
3a03a456-0200-4b8a-b2d7-cd6035fa52ef,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
5a9b7a73-180a-49c3-8f22-15932e440995,__LDBL_MANT_DIG__,"113
"
d1715a7b-3293-4db6-b2d9-06b125e6d3b5,BINN_SINGLE_STR,"0xA6
"
e0e56c29-c4e8-4f0a-8ae7-789911b06ec4,__DECL_SIMD_acoshf64,"
"
5804f46a-606f-4943-9664-e2b7db105a06,_CS_POSIX_V6_ILP32_OFFBIG_LIBS,"_CS_POSIX_V6_ILP32_OFFBIG_LIBS
"
6a02363f-0083-4c43-b7c5-aab0abb46939,M_SQRT1_2,"0.70710678118654752440
"
e8b7cff6-4b19-4272-88fe-2a6ab085547f,M_PI_4,"0.78539816339744830962
"
c802f70b-22a5-4b9f-92f2-32a1165b157f,__UINT_LEAST16_MAX__,"0xffff
"
95f67ae0-8af3-47aa-914d-28e3050aaa6c,_STDBOOL_H,"
"
78f2f17e-c632-44a8-b145-5e13a4e40462,__ARM_SIZEOF_WCHAR_T,"4
"
448553c3-b1f1-48ff-ac28-0383962d8195,_SC_RAW_SOCKETS,"_SC_RAW_SOCKETS
"
2c66fccf-1553-4051-8c4e-bd9fb6a1a585,__DBL_DECIMAL_DIG__,"17
"
c0853bdc-36d1-4ec6-8664-c124bf26272f,__ATOMIC_ACQUIRE,"2
"
1affa578-7b71-4cad-8751-efad0dc6c994,_POSIX2_BC_SCALE_MAX,"99
"
657b78da-5700-4657-a177-f938aec816cd,__DECL_SIMD_asinhl,"
"
bb6981b8-ffc2-42b3-ba9e-c71ce8546b86,__FLT128_MAX_10_EXP__,"4932
"
a2276f7b-bc5d-4e4d-a4b5-07d637bb0148,"isless(x,y)","__builtin_isless(x,"
85d8055e-6bad-474c-a82c-d751fb672ac3,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
edf75be0-49d2-40a0-9cc9-9f17f59a93aa,__DECL_SIMD_cosf32x,"
"
2a5841f2-cda1-4754-a672-50d212d71cbb,_CS_V7_ENV,"_CS_V7_ENV
"
e8a32df0-8f1f-458a-a1ac-f851b7180d2c,PRIXFAST64,__PRI64_PREFIX
53dc8c60-1f4c-450b-969a-92071954898f,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
5661e01e-298b-4d14-84e8-0f1b09d7b5d1,__GCC_IEC_559_COMPLEX,"2
"
451e9b9f-d023-4451-808c-2e41fb511859,ENAVAIL,"119
"
d4b304a0-d6e0-4ca7-aafe-c2f9ab1565a7,SCNiFAST8,"""hhi""
"
55b4e0ba-a328-4826-bd2e-09a7fa114f8f,__NFDBITS,(8
9e206954-a4fc-4038-a1e3-dd68ce0e61f5,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
9c7405ea-0af7-4a7e-b22a-19ce52c19b40,__GLIBC_USE(F),__GLIBC_USE_
bb8527af-a620-4f60-8edd-ba2e9623b400,__UINT_LEAST8_TYPE__,unsigned
43f70607-3ee6-4296-93e7-74f14a218602,_T_WCHAR_,"
"
78f9b746-0525-42af-adfc-7a95640f8bbf,_SC_IPV6,"_SC_IPV6
"
8a2925c8-ae75-42a0-8755-455ec1cee20d,EUNATCH,"49
"
54c8e0c4-4602-42cc-9437-ce32bd54f7a5,IWFSM_ALLOC_NO_OVERALLOCATE,((iwfs_fsm_aflags)
9aadba4f-8b32-46ff-969f-2fcbca2b2f9b,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
70b65557-40f5-4bea-ae3a-0e344296fa3f,SCNuMAX,__PRI64_PREFIX
b57322f7-ec58-4245-9acf-f4dbd98b8d6f,__DECL_SIMD_expm1f64x,"
"
938be17a-6362-4bd1-8d20-4ee695ae74e4,INT_LEAST16_MIN,"(-32767-1)
"
b91f46c5-233e-4390-a04c-507da1d0947b,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
96e32f0d-5a24-4ecb-bdea-0a6856c3235b,__CFLOAT64,_Complex
bdfd6251-a7b4-4922-abd4-24ba77d83a35,ENOCSI,"50
"
cff73326-7b81-423f-b58c-062f1b7c30c1,__stub___compat_get_kernel_syms,"
"
fc39151d-0cb4-408c-84f3-40010909263d,AIO_PRIO_DELTA_MAX,"20
"
d24b448a-7a93-467a-bcac-7fd90be599dc,_CS_XBS5_LP64_OFF64_LIBS,"_CS_XBS5_LP64_OFF64_LIBS
"
ae3ea950-9a7e-49b3-82a0-7babd6ac0205,__S64_TYPE,long
205d9b6a-92ec-44cf-b998-26ece784284a,__FLT128_DIG__,"33
"
91ea9054-dd6b-4da5-b139-260ab5bf93f7,__DECL_SIMD_log1pf64x,"
"
ba32a369-d87c-4d99-ba2b-97a9a2172151,__stub_fchflags,"
"
43b7c1d4-dd41-431a-b689-572d6ca39c6d,__DECL_SIMD_tanhf128,"
"
71c478c5-a441-4380-bc65-8a1c08c4e28c,__DECL_SIMD_erfcf128x,"
"
78c73d03-26cb-4595-85d9-3b2b6604ba2b,__SQUAD_TYPE,long
a2bddce0-4ec8-4064-87a9-97fc940a9206,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
667c64d5-ef30-40d2-ad28-4601c8d5b17d,__INTMAX_C(c),c
f3cb7537-e5e9-4d47-85f3-e6f95b6c6897,_SC_LEVEL4_CACHE_SIZE,"_SC_LEVEL4_CACHE_SIZE
"
