id,name,value
aca46f1c-216d-4a0c-b283-4083e1f87642,_XOPEN_XPG3,"1
"
bf4eadaf-e68b-456f-8724-22df2e0e6ee7,IW_HTOIL(num_),"(num_)
"
ea424958-d928-473e-a293-c1b78894314f,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
c5fb2588-0a7c-4189-bb36-1db73f85d333,IW_HTOIS(num_),"(num_)
"
c4ad9423-65a5-4c38-9462-8d97834a1c55,__DECL_SIMD_erff64,"
"
53c2e029-5a01-4144-9a8e-a41ed6c95c29,__DECL_SIMD_hypot,"
"
46b88138-d0b2-4d2c-834a-e1c1dce07d02,__SSP_STRONG__,"3
"
6252933c-809c-401d-af79-b0b8b18eff94,__attr_access(x),__attribute__
579ec492-bccd-41e3-ba42-0eb046242c41,__DBL_MIN_EXP__,"(-1021)
"
68cc2256-d4e9-4c02-a7d8-c85eb412a3a7,IWKV_RDONLY,((iwkv_openflags)
2ede6947-4916-43bb-be2d-df821f95cc27,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
eb5fa8a4-439c-4278-9d95-5c10caf99a7f,__LDBL_MANT_DIG__,"113
"
e2abd2f6-8a92-47a4-b17f-67da44c63d8b,BINN_SINGLE_STR,"0xA6
"
463b3080-b42b-434c-a506-3a03a3266cde,__DECL_SIMD_acoshf64,"
"
bd4c7e41-0fa9-4db5-bedb-dc1f7ef4b4e4,_CS_POSIX_V6_ILP32_OFFBIG_LIBS,"_CS_POSIX_V6_ILP32_OFFBIG_LIBS
"
afc0f98e-400c-4041-b45e-43a49b2d306f,M_SQRT1_2,"0.70710678118654752440
"
b31d58dd-2c87-4797-83a2-a8d034c9f28a,M_PI_4,"0.78539816339744830962
"
5b5b19aa-bbb2-47e4-89a7-efd7cbe215e7,__UINT_LEAST16_MAX__,"0xffff
"
12b9de32-f591-4a51-a2d7-033747d87774,_STDBOOL_H,"
"
78dcb244-d6fe-4e5b-903d-af4d2232301f,__ARM_SIZEOF_WCHAR_T,"4
"
ac331a32-0ee4-41e0-89fc-7a97ea5e0de0,_SC_RAW_SOCKETS,"_SC_RAW_SOCKETS
"
9961aade-5c41-4020-9b91-1efa170808c9,__DBL_DECIMAL_DIG__,"17
"
147e5bb7-6608-464f-9765-6c7b6eb97916,__ATOMIC_ACQUIRE,"2
"
a4874247-fd64-4048-8d33-0820c882ad5a,_POSIX2_BC_SCALE_MAX,"99
"
bc1b72b9-c9a3-461e-a00f-66f5e5083bd9,__DECL_SIMD_asinhl,"
"
434937e5-0eaf-4833-8c4a-1abfac3da11a,__FLT128_MAX_10_EXP__,"4932
"
bd4ac3c3-5a6d-4ebe-82c4-a7630de8e5ce,"isless(x,y)","__builtin_isless(x,"
01113f67-3fc7-445b-9699-0786d2485bbc,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
77485576-9631-4a6c-99bb-90fc4b8fc017,__DECL_SIMD_cosf32x,"
"
43c21e35-674f-4b56-895b-64a3d3d5e440,_CS_V7_ENV,"_CS_V7_ENV
"
10781d7e-bdb9-4c2e-80b6-f5cfa4b94fac,PRIXFAST64,__PRI64_PREFIX
76e627ad-664a-4c57-a9ad-384df8f8c7e2,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
0c82f003-ebc7-4430-bdbc-7e32833a0751,__GCC_IEC_559_COMPLEX,"2
"
b88dccd4-5ec4-45c5-acc5-3c4d140c2372,ENAVAIL,"119
"
10f6f602-20d5-4168-8746-38a72ddf074e,SCNiFAST8,"""hhi""
"
e6ba3c2e-84a0-45aa-adb0-3db975444d4e,__NFDBITS,(8
bb430c67-0f83-4429-9c8b-01784c7dee3d,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
55a14ee7-5a99-4f5d-b574-e7a287ccab96,__GLIBC_USE(F),__GLIBC_USE_
9cc48f3c-6979-42a5-be1e-24985ab3f838,__UINT_LEAST8_TYPE__,unsigned
18a9e66d-44c7-465a-aef2-558e9a57496b,_T_WCHAR_,"
"
4c286639-3c76-44e7-b5d2-4020ad3811a8,_SC_IPV6,"_SC_IPV6
"
809759d2-3994-4ca8-b07c-897b030bcc14,EUNATCH,"49
"
47fe42e2-8897-4860-a4b3-20eec2db43e4,IWFSM_ALLOC_NO_OVERALLOCATE,((iwfs_fsm_aflags)
e03a6c47-2d45-44d7-b874-2bb042c93e6d,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
f79e9aaa-347f-4e57-8a0b-000a388f7d79,SCNuMAX,__PRI64_PREFIX
ab613a6f-b113-4e72-9d59-fa3d1261caa8,__DECL_SIMD_expm1f64x,"
"
6c44470c-cbac-40e7-8715-e18e0f36281c,INT_LEAST16_MIN,"(-32767-1)
"
