id,name,value
aec648d2-c541-45d0-a0db-d7455c750373,_XOPEN_XPG3,"1
"
385efc5c-0309-47c1-b13f-9f0a53e7b88d,IW_HTOIL(num_),"(num_)
"
3de959d6-5a9c-4b22-8885-74ac6c3a5680,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
39dbf826-0f9d-4d25-bc0a-889e163f2164,IW_HTOIS(num_),"(num_)
"
edc349ca-8de9-4140-a03d-220f526a7de7,__DECL_SIMD_erff64,"
"
a4cee1cb-e896-4829-866f-cd657c86f664,__DECL_SIMD_hypot,"
"
845f00d7-ff6e-4d5b-9f3c-c46127011aa5,__SSP_STRONG__,"3
"
f512870a-1ee3-4fb1-b574-04ec415c2cec,__attr_access(x),__attribute__
78a4e88b-fd5d-49c2-b770-fe231162da59,__DBL_MIN_EXP__,"(-1021)
"
948cad51-291c-42a2-95ea-f1f2c6bf7e48,IWKV_RDONLY,((iwkv_openflags)
56114165-92d3-4c7a-8ea4-36d974ef9dbd,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
2ec20308-3a6d-4c1a-b0c7-3580172ad308,__LDBL_MANT_DIG__,"113
"
0d49a63d-5886-47bc-9b75-3889275814a5,BINN_SINGLE_STR,"0xA6
"
39b7010d-3b2d-43f5-8949-b6f7a9778285,__DECL_SIMD_acoshf64,"
"
23343005-8354-4a82-b9b6-ddc684f9dae8,_CS_POSIX_V6_ILP32_OFFBIG_LIBS,"_CS_POSIX_V6_ILP32_OFFBIG_LIBS
"
9b0c6b6f-148e-4158-bd43-0d523cf6d7bc,M_SQRT1_2,"0.70710678118654752440
"
66935d8f-dbcf-495f-bec5-df5df4c9a92b,M_PI_4,"0.78539816339744830962
"
d050aa1b-f8ad-404d-8326-91fc0c01a4fe,__UINT_LEAST16_MAX__,"0xffff
"
a6cb4aa0-822b-448f-8b53-4217fda170ac,_STDBOOL_H,"
"
2047a032-0c8c-4bb5-9b74-d9aa52651d76,__ARM_SIZEOF_WCHAR_T,"4
"
caad0220-42b8-4883-8f06-b2f246632634,_SC_RAW_SOCKETS,"_SC_RAW_SOCKETS
"
73a55fd2-4194-4a3a-af25-f0614be65ec8,__DBL_DECIMAL_DIG__,"17
"
168e157c-1e61-4799-b927-6eb709954387,__ATOMIC_ACQUIRE,"2
"
d2e525d9-17a7-45ac-994f-0a23168e71bf,_POSIX2_BC_SCALE_MAX,"99
"
5c85b8b9-09c5-40cd-b1d4-9500c9fffb0b,__DECL_SIMD_asinhl,"
"
546c47dc-bbb5-4bc1-a534-f95e6e8d744e,__FLT128_MAX_10_EXP__,"4932
"
be99f3dc-2916-420b-8d3d-873e578509a7,"isless(x,y)","__builtin_isless(x,"
de3142c5-5dac-4908-ac0c-708e047bb8b2,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
952a12aa-9955-48e6-b8dd-1d69dcf24f33,__DECL_SIMD_cosf32x,"
"
ed89f209-98fd-4c6d-98dc-e42775e5a085,_CS_V7_ENV,"_CS_V7_ENV
"
09e4f4d0-25ff-4ea5-80a5-b495f4d70c65,PRIXFAST64,__PRI64_PREFIX
3b7f4638-918a-4e02-b5b1-e6e127a553e6,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
7f429892-f7c6-435a-95ec-c91372a13034,__GCC_IEC_559_COMPLEX,"2
"
033f8b25-9aaa-4546-bd6b-8242aa854d32,ENAVAIL,"119
"
cf4179ce-5cc5-4320-9347-bb0d78651f7a,SCNiFAST8,"""hhi""
"
d52a29d0-938d-4948-a5ab-1d18eefc8935,__NFDBITS,(8
43c41f2a-8657-468f-a6e0-43cc0032e937,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
96e508ca-1153-4231-869d-a4fea9731941,__GLIBC_USE(F),__GLIBC_USE_
ab75f4d7-d43f-422e-b6c1-b6861e9823f4,__UINT_LEAST8_TYPE__,unsigned
fea6244a-ae19-4064-a985-b5a57a99e2f0,_T_WCHAR_,"
"
59faf981-7ccb-4446-839d-1505b011b6b5,_SC_IPV6,"_SC_IPV6
"
c024fc76-61b6-4355-bacb-874750734baa,EUNATCH,"49
"
5085bde3-ba99-40fa-a645-be94c0d299fc,IWFSM_ALLOC_NO_OVERALLOCATE,((iwfs_fsm_aflags)
a4160d44-3302-4d57-943a-7143e813b7d1,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
e041d389-4697-4eb0-b15e-7c34507ff0eb,SCNuMAX,__PRI64_PREFIX
e55b628f-dcd8-4fd7-8cfd-7d74e052875e,__DECL_SIMD_expm1f64x,"
"
f172a17e-640e-4f30-a919-9857ff9cd6bf,INT_LEAST16_MIN,"(-32767-1)
"
cfa9173d-c826-477f-b7fe-db85e1412e94,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
76d8458d-79d0-4b35-9893-e18e062bfd22,__CFLOAT64,_Complex
095cebec-603c-496c-9838-514354ab66a8,ENOCSI,"50
"
f52814f0-362a-424d-aff7-432736ff0b56,__stub___compat_get_kernel_syms,"
"
fd986d6d-cc3f-49b0-82ee-8d0c3dc35632,AIO_PRIO_DELTA_MAX,"20
"
adb1b241-bdf8-4146-80b2-6839cf9bbe4a,_CS_XBS5_LP64_OFF64_LIBS,"_CS_XBS5_LP64_OFF64_LIBS
"
488eeb06-e0ca-43a6-8d0f-e4f24e0d8946,__S64_TYPE,long
fe9461ba-a463-4f7d-860e-4b8f23f06979,__FLT128_DIG__,"33
"
6b3d0d09-5aca-4a98-af84-939ad7e7f0e3,__DECL_SIMD_log1pf64x,"
"
70b348a9-f65d-4332-820b-556e9c3066db,__stub_fchflags,"
"
3e275652-c098-4e20-a856-ac0f7d42e1f2,__DECL_SIMD_tanhf128,"
"
619be45d-eea6-4639-8f89-85fad3716579,__DECL_SIMD_erfcf128x,"
"
e3c5ea8f-d989-4a11-b153-21c40fee68d6,__SQUAD_TYPE,long
4ddbd85a-70b3-4072-a5bd-f358431bb395,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
24d837fb-1c57-456e-95c5-ce8643785482,__INTMAX_C(c),c
5bae61ae-4f3b-4d6e-91c2-6f90b798ca45,_SC_LEVEL4_CACHE_SIZE,"_SC_LEVEL4_CACHE_SIZE
"
897bb244-c4a4-4a55-a580-d4160ccf7c6e,_SC_TTY_NAME_MAX,"_SC_TTY_NAME_MAX
"
bed6782b-1b28-4e2a-9f63-1128ebef1cdc,_BITS_FLOATN_COMMON_H,"
"
d002f591-2368-4d7f-84b1-03b19aefa678,_BSD_SIZE_T_DEFINED_,"
"
a8a992a1-74d5-4baa-a32e-6de1075ce6eb,_SC_FILE_ATTRIBUTES,"_SC_FILE_ATTRIBUTES
"
34427f68-6a7c-4cf8-9ab8-bd70e05902b8,_SC_LEVEL4_CACHE_LINESIZE,"_SC_LEVEL4_CACHE_LINESIZE
"
6cc215e4-fc01-4696-9cdf-572e9117c99e,PTHREAD_CANCELED,((void
a375a9d1-8b10-4d17-8e98-9ee3af0878bf,_PC_MAX_CANON,"_PC_MAX_CANON
"
b68d4a8e-1737-4837-b1d9-b35c1e254bd9,__DECL_SIMD_atan2f16,"
"
6cb47fb5-c2d2-45ba-8178-c6f17c03cce5,_VA_LIST_T_H,"
"
ed9a325e-e693-45f9-bbbf-10e84c3d58ed,TRUE,"1
"
5d867a22-ad71-498b-beac-c056f18c03df,__CHAR_BIT__,"8
"
