id,name,value
5dc7ec58-ea25-4a4c-a36d-942c0f5a1b7b,_XOPEN_XPG3,"1
"
96f89908-6fdb-4b5e-81f4-250fa6f4e4a2,IW_HTOIL(num_),"(num_)
"
9ae3a32f-d4d9-42fd-9b8d-3a169a8db2a4,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
e96d7e4f-2243-4438-b154-1e25039fcf7b,IW_HTOIS(num_),"(num_)
"
0c49d072-f491-444f-906d-f6e011e6ba41,__DECL_SIMD_erff64,"
"
d64acc12-f726-40fe-b0d7-5702d1454a66,__DECL_SIMD_hypot,"
"
7de6c8a2-2eda-47ba-8f00-92fc617cb597,__SSP_STRONG__,"3
"
29b7d87d-20a2-454a-a2bb-aa9b333bfe6a,__attr_access(x),__attribute__
aa077fc3-7863-49e6-b82d-55f43941a182,__DBL_MIN_EXP__,"(-1021)
"
11f6593f-0ef1-4ce0-9ba5-ff89a25fb759,IWKV_RDONLY,((iwkv_openflags)
8021c8e8-ac4e-49c1-8cc8-0dd3aad73d23,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
5db40e8d-0b51-46ea-ab3e-16b701a70cd6,__LDBL_MANT_DIG__,"113
"
2a3a736d-6b11-4029-866f-5c825eaba791,BINN_SINGLE_STR,"0xA6
"
adfc77c5-0fde-4eb7-8fed-c106081549c8,__DECL_SIMD_acoshf64,"
"
2918c40c-cdb4-4a8b-af4b-b02e92f56bed,_CS_POSIX_V6_ILP32_OFFBIG_LIBS,"_CS_POSIX_V6_ILP32_OFFBIG_LIBS
"
70159aee-a206-420a-8486-5e51289b1319,M_SQRT1_2,"0.70710678118654752440
"
fb805715-7990-4910-9f02-d40ac69da0f6,M_PI_4,"0.78539816339744830962
"
bfda9ba2-7fd5-400f-b61d-04fa0deb835c,__UINT_LEAST16_MAX__,"0xffff
"
f7b3b7f9-9bc7-4e11-bce6-27fa94dec15b,_STDBOOL_H,"
"
4dfbe63e-d39c-4eaf-9847-12141f0cf953,__ARM_SIZEOF_WCHAR_T,"4
"
7abd0edc-999e-406f-944e-6e619fb16116,_SC_RAW_SOCKETS,"_SC_RAW_SOCKETS
"
578e6d5c-8d7c-4a94-8093-5e9366d95abf,__DBL_DECIMAL_DIG__,"17
"
858280dc-7dfb-4423-a2eb-a602ef5408e1,__ATOMIC_ACQUIRE,"2
"
271be46d-c687-477f-a462-b2b3d1e63be7,_POSIX2_BC_SCALE_MAX,"99
"
60be292d-8fcd-4056-9e66-5b64bd040d8f,__DECL_SIMD_asinhl,"
"
f3344e19-0eb3-4f5e-943b-b2de20511f49,__FLT128_MAX_10_EXP__,"4932
"
255592cf-e10f-4038-b93d-1bb8f4124f90,"isless(x,y)","__builtin_isless(x,"
aef955da-b70c-413c-918e-af1710cf6543,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
447b8cc0-f73a-414e-b1ef-fa290d4cfb6f,__DECL_SIMD_cosf32x,"
"
aee59d16-d9bc-464a-aef4-7ffcc7e7ead6,_CS_V7_ENV,"_CS_V7_ENV
"
4df51060-9805-4fd9-9610-ce42f462f9f3,PRIXFAST64,__PRI64_PREFIX
9f87a09b-f252-4161-9dbb-d9953cb6c42a,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
ef19cee5-3a91-4ffb-a5e7-3a56bcb331a0,__GCC_IEC_559_COMPLEX,"2
"
127a67bb-4f3b-4399-a578-c722cfacf011,ENAVAIL,"119
"
0ee4c350-579b-4021-ad13-4b1648143b9c,SCNiFAST8,"""hhi""
"
8a337b49-f902-449a-af4c-58a3c6a07106,__NFDBITS,(8
4db2f75d-6d14-4df1-b91d-41828d0cfd23,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
f8d79d4c-df23-420c-a1f2-291bcdd69da8,__GLIBC_USE(F),__GLIBC_USE_
45f5c21a-4a40-47e7-8252-636b6bd33af0,__UINT_LEAST8_TYPE__,unsigned
7ba5a5ed-9a7f-4590-ad69-f43eac4cf06a,_T_WCHAR_,"
"
aba35855-42e9-4438-820e-ee53d99b6890,_SC_IPV6,"_SC_IPV6
"
b038f738-29e9-4fa8-a7dd-a3d6004e3938,EUNATCH,"49
"
7a46aa0a-1858-43c2-bc53-7002fbc7aa9a,IWFSM_ALLOC_NO_OVERALLOCATE,((iwfs_fsm_aflags)
d12770f7-b31a-4f16-89ae-5b6404ce4415,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
80bc34e2-0ff0-488e-8991-ac144ec865a7,SCNuMAX,__PRI64_PREFIX
70f491e8-60e9-4f98-91bc-eba85c350cfc,__DECL_SIMD_expm1f64x,"
"
baf97975-6456-41ec-b201-59b5088ec51f,INT_LEAST16_MIN,"(-32767-1)
"
346c2ad0-fa67-40dd-a740-ed0c3f357428,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
8ac53f68-b450-4516-97a1-d11629605797,__CFLOAT64,_Complex
bef4ad19-d6e6-4a17-981b-838411d59152,ENOCSI,"50
"
1ee518bd-1e9e-4628-8503-90d9c608e302,__stub___compat_get_kernel_syms,"
"
d468f681-c608-4fb0-8623-a48ea70ed531,AIO_PRIO_DELTA_MAX,"20
"
7e231920-9c62-4d3b-8843-832c4930ef9f,_CS_XBS5_LP64_OFF64_LIBS,"_CS_XBS5_LP64_OFF64_LIBS
"
783c7c79-996d-404a-a5f9-3bc0e0eece41,__S64_TYPE,long
7c62779c-32d5-4b08-9af6-8d8f61073735,__FLT128_DIG__,"33
"
