id,name,value
39367e12-1e1c-4c2c-b6ad-aa0a37ec2924,_XOPEN_XPG3,"1
"
617818c7-9511-433e-b39b-a6f609fa8191,IW_HTOIL(num_),"(num_)
"
30ae1dd8-5d0c-4a00-8709-2a381a0bb360,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
039f2b33-e364-4c07-b3fc-5dac55f868b0,IW_HTOIS(num_),"(num_)
"
d734ee91-61f5-4a05-802a-268591093210,__DECL_SIMD_erff64,"
"
c0057b61-0379-4b66-8d63-53cdbe9a2223,__DECL_SIMD_hypot,"
"
bcaffd4b-dd15-400c-b47e-1d9ba92708c1,__SSP_STRONG__,"3
"
af872140-786c-4c4f-86b4-a561f7da51da,__attr_access(x),__attribute__
00b5154e-72a0-4762-8db9-c06fe0400d3d,__DBL_MIN_EXP__,"(-1021)
"
95dfe56a-15c6-4ab7-ab98-d3eb368fefdb,IWKV_RDONLY,((iwkv_openflags)
c5b2e520-10e9-4ee5-9c42-a53634321505,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
91c46cfd-f344-4ade-b233-ee51e5661290,__LDBL_MANT_DIG__,"113
"
cf24281c-2c99-4d5e-acaf-b641bc40e1a7,BINN_SINGLE_STR,"0xA6
"
14ce600a-8551-4693-b1e7-a645928aa90a,__DECL_SIMD_acoshf64,"
"
2a0d4aaf-4a18-43e4-801c-f7882d69c891,_CS_POSIX_V6_ILP32_OFFBIG_LIBS,"_CS_POSIX_V6_ILP32_OFFBIG_LIBS
"
faa29fe7-a5d1-4236-b551-1525df8e8f7d,M_SQRT1_2,"0.70710678118654752440
"
a1facee3-0af1-403c-9f8a-770db485ccff,M_PI_4,"0.78539816339744830962
"
5f625b30-b5ae-4526-8bba-0779ff30c503,__UINT_LEAST16_MAX__,"0xffff
"
90030c0e-2a80-4a9e-8f5c-6a798ed989a1,_STDBOOL_H,"
"
ad3e67de-a26a-41b5-a20c-5971a027e724,__ARM_SIZEOF_WCHAR_T,"4
"
13f1b0ab-51a5-4904-a6ed-d7f0037343bd,_SC_RAW_SOCKETS,"_SC_RAW_SOCKETS
"
a2d25b9e-1feb-4df3-b318-b1e88f738026,__DBL_DECIMAL_DIG__,"17
"
d78d9f70-ffe1-47b3-96a5-f7e608d7883b,__ATOMIC_ACQUIRE,"2
"
a9cc05eb-3cd3-44e1-b3ed-2aaab6c9be17,_POSIX2_BC_SCALE_MAX,"99
"
d09fe8ed-ecf8-4f99-865c-a1bec5842b8e,__DECL_SIMD_asinhl,"
"
fb559337-4a50-47ca-83e0-adf71cc1dd67,__FLT128_MAX_10_EXP__,"4932
"
bc21e7f3-e81c-4640-811b-32041336ca30,"isless(x,y)","__builtin_isless(x,"
b4d908e3-2043-45a0-8a04-18815958d1d9,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
6c19bf4c-880b-4d87-9613-f8bbd61cedf1,__DECL_SIMD_cosf32x,"
"
f0ca803f-7617-4771-b668-ce88e2d731fd,_CS_V7_ENV,"_CS_V7_ENV
"
795fd5de-5e92-46aa-8aab-860fe22b222b,PRIXFAST64,__PRI64_PREFIX
9b257657-5ff3-4048-9dd9-13af39dc0424,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
73af7633-a285-4e70-b292-5d40add05364,__GCC_IEC_559_COMPLEX,"2
"
c04e5ee3-8291-4165-ad00-770bae6d451d,ENAVAIL,"119
"
474dcfd8-235b-44bd-9ccd-548dbda61e76,SCNiFAST8,"""hhi""
"
7d536cd1-811f-470a-8b97-30f7e1411758,__NFDBITS,(8
cd3f1831-4abf-4e46-b93c-7a88a49c1210,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
0d755a74-7bcc-4eea-9f68-69b91f1fa588,__GLIBC_USE(F),__GLIBC_USE_
e0df2ea8-1018-4041-8bba-31f5850c7478,__UINT_LEAST8_TYPE__,unsigned
42231fff-5e68-4efc-b215-23cb1ae687de,_T_WCHAR_,"
"
9765a2fe-1a9b-486c-8203-a930b5661308,_SC_IPV6,"_SC_IPV6
"
0286ec04-95b2-470c-ac1e-98a38ab0ba28,EUNATCH,"49
"
a3c45bc6-0161-47d3-bce5-0271efc264da,IWFSM_ALLOC_NO_OVERALLOCATE,((iwfs_fsm_aflags)
646f9b96-1c53-482c-b98a-c2903207efe8,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
02174483-af9f-44e8-a634-d1b286af954a,SCNuMAX,__PRI64_PREFIX
