id,name,value
5ad7d26e-0010-4320-91da-e319a92ca1b5,L_XTND,"SEEK_END
"
ecf9a6f8-c9c4-4d33-be76-4d677e9a36f4,IW_HTOIL(num_),"(num_)
"
4cdc6bfd-3c22-4e43-85b4-01a5e95987cd,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
db5b8d2c-cc6b-4c65-8206-7c5ea23d9e08,IW_HTOIS(num_),"(num_)
"
87538ebb-5d8b-4afb-8620-fb94977e7200,__DECL_SIMD_erff64,"
"
bde4a0a6-907a-4caf-9454-1449c47c1099,__DECL_SIMD_hypot,"
"
a0564262-169c-456e-9956-856a80809eb1,SI_TIMER,"SI_TIMER
"
4b5c484c-aa14-473c-8755-af376618cc04,__SSP_STRONG__,"3
"
c4f8a611-1755-416e-930c-e45c1e89ad61,__attr_access(x),__attribute__
9c24d645-aa59-4f25-8e0c-14fa1c47f883,__DBL_MIN_EXP__,"(-1021)
"
d578eee2-25e5-46c0-a5e3-e5c4fb1fa571,IWKV_RDONLY,((iwkv_openflags)
3b8bd011-31af-469b-a3fb-5a222962f8b8,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
dbdd745d-83bd-402d-b5d4-25d669946a1e,si_timerid,"_sifields._timer.si_tid
"
9a8aa821-9695-412e-b220-797ef57e36e0,BUS_ADRALN,"BUS_ADRALN
"
9a134d5b-481b-4a49-a304-e5954540e97d,_BITS_SIGEVENT_CONSTS_H,"1
"
07d6b437-4109-40a4-a009-036b101ccb1f,_PC_CHOWN_RESTRICTED,"_PC_CHOWN_RESTRICTED
"
dd70b129-5f38-4bb3-93b9-18acbb5e91ba,__LDBL_MANT_DIG__,"113
"
b2c81aaf-d274-4251-9aba-198488141ffd,__DECL_SIMD_acoshf64,"
"
d97ef0e8-bd9c-4570-b58b-db039cfbb243,_CS_POSIX_V6_ILP32_OFFBIG_LIBS,"_CS_POSIX_V6_ILP32_OFFBIG_LIBS
"
2cbd1b57-b935-43ec-b92b-ce032b629bbe,SVE_SIG_ZREGS_SIZE(vq),"__SVE_ZREGS_SIZE(vq)
"
3bc17e78-719a-4913-87a4-4f9df5a35305,M_SQRT1_2,"0.70710678118654752440
"
336d2de4-9a93-4f78-b0d7-3b09f18821f8,M_PI_4,"0.78539816339744830962
"
685847f2-ba4c-4b68-adab-598263cdb99b,no_argument,"0
"
ae37ce1e-ca71-4681-917b-4439773ae5d5,__UINT_LEAST16_MAX__,"0xffff
"
e8c3ef42-5477-43f4-ad32-fa00b2bdb553,_STDBOOL_H,"
"
5ee87d89-6793-4812-b354-a3d57570df42,__ARM_SIZEOF_WCHAR_T,"4
"
640b8fd5-9a98-4705-bc09-03d86ae79565,_SC_RAW_SOCKETS,"_SC_RAW_SOCKETS
"
f2bbf889-a8f8-4e2f-8c7f-3ca9e83bbebb,__DBL_DECIMAL_DIG__,"17
"
86da817d-7431-4f22-bc50-8370f20b2785,__ATOMIC_ACQUIRE,"2
"
19527b02-8c61-4626-821f-507d35988a27,_POSIX2_BC_SCALE_MAX,"99
"
825ae237-9a95-4683-a623-c1dc2ba5e0cf,__DECL_SIMD_asinhl,"
"
9569b057-6b30-42a4-901c-30dcf2a45c54,__FLT128_MAX_10_EXP__,"4932
"
0e5e236f-39f1-4ad4-93e7-dc11fc8d58ca,SVE_SIG_REGS_OFFSET,((sizeof(struct
6931ad20-5707-4449-bd48-5cb4a94f03cd,"isless(x,y)","__builtin_isless(x,"
5fd225b5-ed43-47bb-83ba-75238958a0c9,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
593d1d98-f7a2-4f25-a387-8931a054adf1,__DECL_SIMD_cosf32x,"
"
65585866-0a5d-42bd-a967-50e08f1ad841,sa_sigaction,"__sigaction_handler.sa_sigaction
"
f92814b8-6404-4cd2-98bc-09aaee3009f5,_CS_V7_ENV,"_CS_V7_ENV
"
d80e7476-13b6-412e-90c7-1e2749546ed4,PRIXFAST64,__PRI64_PREFIX
a36d2783-b42d-4cb4-9b9d-683c730eb3d8,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
edf02fc6-19e5-489a-8c4a-eb480f0f3fcf,SEGV_MTEAERR,"SEGV_MTEAERR
"
2dfe95ef-30fc-437c-bfa2-f0ed952a9e73,__GCC_IEC_559_COMPLEX,"2
"
