id,name,value
e47a914e-f5ba-4601-a0fd-dd4cdf3ab5ba,__S_IFBLK,"0060000
"
fe93b2e8-715c-4adf-9497-f715b1248bdc,sa_sigaction,"__sigaction_handler.sa_sigaction
"
b8b0b7fb-da0e-4ae1-9267-696026e7bf34,STATX_ATTR_AUTOMOUNT,"0x00001000
"
eeb13a48-3fb9-4144-a996-5d28a1c952f5,_BITS_SCHED_H,"1
"
fe0929ea-1ed0-4dff-b1fd-2b3c5f4c8fff,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
7ff72a59-a505-464a-8609-2ae5a4f9dced,__SSP_STRONG__,"3
"
8c82e87f-6017-4cf9-8983-092899ea112d,_CS_POSIX_V6_LP64_OFF64_CFLAGS,"_CS_POSIX_V6_LP64_OFF64_CFLAGS
"
d5d5213e-812d-4796-b06f-a651340b3a4f,__attr_access(x),__attribute__
d1e5ec77-221d-4392-96f5-c7ce58f11d4a,__DBL_MIN_EXP__,"(-1021)
"
46ae57a5-8bf4-4cb6-b2b7-32605c2ff248,EMULTIHOP,"72
"
eb0f93f3-6155-4d66-8d15-3cf8cf91688c,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
84d854eb-38f8-41b5-b952-0541128f89ca,AT_STATX_SYNC_AS_STAT,"0x0000
"
33f435d9-8b34-47ab-9f77-2a476c0b8e13,__SI_SIGFAULT_ADDL,"
"
2c5dfc1f-6872-480a-8eb7-8db37ababf3d,__UINT_LEAST16_MAX__,"0xffff
"
6a1e867a-0f86-4418-b676-b1904802d989,__FLT128_MAX_10_EXP__,"4932
"
bc6dcb62-dda5-4188-a6db-1a2dad49aca9,STATX_UID,"0x00000008U
"
3888cb67-3bf5-4c4d-8898-6ad753a51db6,RE_DUP_MAX,"(0x7fff)
"
9c7155bf-e7eb-48ec-a6a3-c2ad8ef6fd71,SVE_SIG_REGS_OFFSET,((sizeof(struct
d31fb6e7-c1cd-41f5-9bf7-ce77f95ce3c6,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
cff5ad78-18c4-43a5-bbf9-0c1bccbb1345,atomic_is_lock_free(OBJ),__atomic_is_lock_free
d58caae6-c932-412f-8ecb-d2816b6c9f1e,MAX_GC1OVPAGE(pagesize),(PAGEROOM(pagesize)
ec19ae98-3375-4e42-9c93-5abb0208725e,__NFDBITS,(8
91d88140-a9ca-4ed4-8943-180128f170fa,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
383a3929-e3f8-44d3-8871-3e6dc50f9e3d,PRIxLEAST64,__PRI64_PREFIX
c48b20dd-3877-4e82-ba5c-7e4c0115ae5f,si_fd,"_sifields._sigpoll.si_fd
"
e531b788-4f85-4f02-ae3b-0c1c41bda9a6,_T_WCHAR_,"
"
8b6566ba-c588-4aaa-848c-7d863b913422,_SC_IPV6,"_SC_IPV6
"
6f37cad2-0ddd-4624-8589-f1636abdb007,STATX_ATIME,"0x00000020U
"
b349afbe-c9f2-41e1-9eb6-03550c984f72,"atomic_fetch_or(PTR,VAL)",__atomic_fetch_or
5d75a60a-ef5a-495f-afe8-e982011e65ed,RWH_WRITE_LIFE_SHORT,"2
"
0068aa03-094b-408f-9cb3-c9bb773a06ec,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
35f8f742-94f2-4021-9961-da8cb6c93df1,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
3e0e728b-01e9-4fdc-87ec-4a4ef072c6ee,__CFLOAT64,_Complex
f5da2c04-e1ec-4522-82df-27a01ddb7716,M_KEEP,"4
"
202f47cf-253d-4fec-956a-b370136662df,"setbit(a,i)",((a)[(i)/NBBY]
61b0ccef-7cc8-4ce1-8375-608c1f5302fa,si_arch,"_sifields._sigsys._arch
"
a058629d-548b-45f1-8aec-eea1c4081f54,ACCESSPERMS,"(S_IRWXU|S_IRWXG|S_IRWXO)
"
b89d6246-2925-4906-a431-aed2abd1789d,__S64_TYPE,long
8d6001bf-1aee-4d5f-ad15-cbb4ab34bd36,_PRINTF_NAN_LEN_MAX,"4
"
aa7595c3-cf40-46fa-898f-46a66372c6f5,MDBX_PURE_FUNCTION,"__attribute__((__pure__))
"
43869538-ce65-4c25-9408-555687db1111,__SQUAD_TYPE,long
5a0e2974-3f19-418d-9bf1-2f94cdb1feca,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
b2aa372c-c2ab-4e5f-85f6-e10e8a59d495,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
9ed1ebbb-c930-432d-8d52-dadaae300e8e,_BITS_SIGINFO_CONSTS_H,"1
"
31fa7971-9430-4cb1-b0fa-298fe71d7fd7,SIGBUS,"7
"
