id,name,value
00419d1f-10b2-459c-a793-38287b7f824b,__S_IFBLK,"0060000
"
dd696e09-62bb-42ec-9723-0e75b27023a5,_XOPEN_XPG3,"1
"
bef37a40-2e8b-45b7-9b05-fba88306b5d6,STATX_ATTR_AUTOMOUNT,"0x00001000
"
ff218008-1d6e-469d-99ae-42853b9a3dcb,_BITS_SCHED_H,"1
"
0543d656-22ed-4c35-8a74-d708c2db116f,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
b4ff8c4e-7426-432b-9d87-5e8e0de88291,SI_TIMER,"SI_TIMER
"
3582b300-dc82-4586-a0b2-2051c5f19b03,PRIXFAST32,__PRIPTR_PREFIX
e8f98187-c9e3-4c5b-bb20-87b71c53cf2e,__SSP_STRONG__,"3
"
cc77764a-3c5b-49fe-934a-509470872d07,S_ISCHR(mode),"__S_ISTYPE((mode),"
10a02e63-79bc-4c67-a979-38822625611c,MDBX_MC_WAIT4EOT,"UINT32_C(0x90E297A7)
"
2f518893-d402-406f-ab2d-affb233b8690,__attr_access(x),__attribute__
906109d8-9962-40e3-a4c5-d01ee2b4412c,__DBL_MIN_EXP__,"(-1021)
"
3aa4f64d-ead5-4985-9415-8c2d9aeb933d,CLONE_SETTLS,"0x00080000
"
85aae7f1-7472-4326-9fdf-24c30eaab227,_SC_XOPEN_UNIX,"_SC_XOPEN_UNIX
"
3cb33413-85eb-431a-a804-0ea2133beae2,si_timerid,"_sifields._timer.si_tid
"
3cffbfb1-2ad7-4712-921c-eb332fade55b,BUS_ADRALN,"BUS_ADRALN
"
6108a2ef-367b-4b12-9684-2baa855771a7,__LDBL_MANT_DIG__,"113
"
4651c202-be7c-4f31-9165-f7b0032100bb,MFD_ALLOW_SEALING,"2U
"
7af8c300-3b67-47c6-a2a0-6b2ca7d812bf,SYNC_FILE_RANGE_WRITE_AND_WAIT,(SYNC_FILE_RANGE_WRITE
c2401f29-fd50-4a65-8f13-43d5966b30b2,AT_STATX_SYNC_AS_STAT,"0x0000
"
1d5806d2-6192-4b86-b6d7-a866001ba030,_POSIX_SHARED_MEMORY_OBJECTS,"200809L
"
bd9ec887-4608-444e-a8cb-1b69d9b619c1,DDBI(mc),(((mc)->mc_flags
f925fd46-b3be-4dcb-a6c4-339855732850,__UINT_LEAST16_MAX__,"0xffff
"
9af7e136-9fe1-4621-ab76-f56041af0836,__ARM_SIZEOF_WCHAR_T,"4
"
649921f8-5b6f-470d-a2f4-024dc71c6a55,SIGPIPE,"13
"
98ef0fc2-f8a6-41b8-a062-136e7b42b378,__DBL_DECIMAL_DIG__,"17
"
62c4a0b1-a446-47a1-99c4-c3abfe13ac80,__ATOMIC_ACQUIRE,"2
"
673096fb-2cbc-47dc-ab3c-3aa6a54c9bf6,_POSIX2_BC_SCALE_MAX,"99
"
0059a171-63e5-4bee-b14e-cc5d460669c8,MNTOPT_RO,"""ro""
"
64ee50ee-07e4-42c2-9ee5-ff9259669699,__FLT128_MAX_10_EXP__,"4932
"
22c9b298-cc29-4773-9ea7-a661d57d8491,ATOMIC_CHAR16_T_LOCK_FREE,"__GCC_ATOMIC_CHAR16_T_LOCK_FREE
"
6279a9d3-4c1f-4874-bfda-4083d5fe4f20,SVE_SIG_REGS_OFFSET,((sizeof(struct
0e73c067-b547-48fb-8d7c-ae3857d1fcfb,_POSIX_CPUTIME,"0
"
c0214a9f-2a44-4560-afdd-aac4193da832,__off64_t_defined,"
"
f1ef1829-2fcc-4959-bb0b-6aa373e7ba58,sa_sigaction,"__sigaction_handler.sa_sigaction
"
df6f355d-948f-4d1a-9474-83776e451521,PRIXFAST64,__PRI64_PREFIX
4c33c49c-b791-483d-a101-e9dedc855f34,__FLT_MIN__,"1.17549435082228750796873653722224568e-38F
"
86a8f275-7764-4b21-9e96-aed030ad4267,__GCC_IEC_559_COMPLEX,"0
"
f9353d3d-30a0-4534-a982-b5ae29fb8a0b,SCNiFAST8,"""hhi""
"
3b89162b-6434-4964-bc8b-7225216b5847,MDBX_PNL_INITIAL,(MDBX_PNL_GRANULATE
0ce53ff8-45e3-40a6-8067-b35d571ae69b,__NFDBITS,(8
c58c0480-f090-483d-9fda-3c9982438fd0,"atomic_flag_clear_explicit(PTR,MO)",__atomic_clear
ef62c8f1-fde2-4a7c-8e73-fa15a55be503,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
04273fa0-0553-4c63-84fd-4ed77d582546,_SC_TIMEOUTS,"_SC_TIMEOUTS
"
a17e12e7-2b99-4927-ac8c-68393d599c62,__GLIBC_USE(F),__GLIBC_USE_
2a1119f7-fb94-45b0-b091-d1eef3c326f9,si_fd,"_sifields._sigpoll.si_fd
"
85c19aad-bdef-40f3-90fb-0e2344dfe0ae,__UINT_LEAST8_TYPE__,unsigned
35c11b2c-d191-42ff-80f1-1cd687b80396,"atomic_fetch_sub(PTR,VAL)",__atomic_fetch_sub
6091f12f-5343-4675-bf45-a553ba54769e,_T_WCHAR_,"
"
a0b0af3d-5648-409f-84b7-ddcc8e24f7ab,_SC_IPV6,"_SC_IPV6
"
a030a667-4753-4e1a-ae0d-5e6db4322029,EUNATCH,"49
"
374f3f62-dfd3-4985-a64a-98644696d402,RWH_WRITE_LIFE_SHORT,"2
"
6fc27bbb-4598-4861-8f3f-87641beb61a1,L_cuserid,"9
"
19bbe179-cc06-41b0-8629-dcc76ff2c128,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
e6395009-f74b-4cdc-bde3-1e6c0a78c8e2,SCNuMAX,__PRI64_PREFIX
1190ae13-87a0-4fff-9d9c-e05efd8cf493,INT_LEAST16_MIN,"(-32767-1)
"
1c905659-9e68-4379-9ae6-5d3307890d22,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
ff416c41-4a16-4fa5-bb92-728d46dbe733,__CFLOAT64,_Complex
0a7dc2aa-e585-4adb-9d96-ab4a5cfae81e,IS_BRANCH(p),(((p)->mp_flags
6f8cd6dc-f137-43e3-a877-5c03676285a4,"setbit(a,i)",((a)[(i)/NBBY]
6e072db2-53e4-446c-9f69-8dba207439a2,ENOCSI,"50
"
743a7a12-1152-4d37-9e26-119a4b3dfa6f,__stub___compat_get_kernel_syms,"
"
c5d7c17f-7b3c-46b5-9a6d-31c6c915478e,si_arch,"_sifields._sigsys._arch
"
2373b142-d3f9-4375-9086-0dc1e6637a54,_POSIX_CLOCK_SELECTION,"200809L
"
194c2c6e-6b35-4d58-a70c-76ba7a35f437,__S64_TYPE,long
c8c83e34-e1c2-48b5-ba0b-41efb1ccc079,MDBX_USE_OFDLOCKS_AUTO,"
"
07e7c55d-db14-4035-8b3b-5a2e4cb17f03,_PRINTF_NAN_LEN_MAX,"4
"
5448bfe7-e53f-4e97-8f71-c9fcfce88899,_POSIX_PRIORITIZED_IO,"200809L
"
f13b6234-567e-402d-a737-1d0b8ca466ae,__FLT128_DIG__,"33
"
5301efc5-ecb5-4099-832c-ed0225cb3400,__stub_fchflags,"
"
f528e087-d531-4467-b72f-cb4efddf3f16,__SQUAD_TYPE,long
