id,name,value
80bd48fb-d599-4571-a5a7-5e91b5d7889e,sa_sigaction,"__sigaction_handler.sa_sigaction
"
99d8f554-96ad-4923-a7c0-e51f3a73eeef,_BITS_SCHED_H,"1
"
65cf29b2-c815-4995-a91a-2d241959fd5b,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
3c084478-7a30-481a-b8aa-eda333166823,__G_VERSION_MACROS_H__,"
"
5eace944-f99e-4c59-9826-2f093998a302,GLIB_DEPRECATED_MACRO_IN_2_30_FOR(f),"GLIB_DEPRECATED_MACRO_FOR(f)
"
f482510b-1df7-4407-9ae2-e0a0424e76c4,__SSP_STRONG__,"3
"
0131388b-1ebe-4a23-9336-a3cb753a214f,G_LOG_LEVEL_USER_SHIFT,"(8)
"
ae145384-7bd2-4808-b42d-8ac202e67dc8,__attr_access(x),__attribute__
47811766-62b4-43ea-94f5-388266323df5,__G_DATE_H__,"
"
72cc6d84-7151-4285-8df7-4edd88e71413,"g_dataset_get_data(l,k)",(g_dataset_id_get_data
ca97937d-7e8a-4447-9297-4e8fab08d43a,__DBL_MIN_EXP__,"(-1021)
"
a91eeffa-7ac2-43d0-88fc-d7538c9546cb,"g_array_insert_val(a,i,v)",g_array_insert_vals
c7a33698-a62b-4959-aee3-7605cf4b6ac5,_SC_SEM_NSEMS_MAX,"_SC_SEM_NSEMS_MAX
"
28153ef8-6407-4194-b581-350bd9380370,GLIB_DEPRECATED_ENUMERATOR_IN_2_44_FOR(f),"GLIB_DEPRECATED_ENUMERATOR_FOR(f)
"
5b11cc91-aa94-412a-972a-b1ec7d5bfaf9,EMULTIHOP,"72
"
dedd69ea-9430-4a82-8d7f-fe5418cf607e,G_GINT64_MODIFIER,"""l""
"
812b9a7f-1030-4b77-8a7b-70f0905cbcfd,CR_SHARED_MEMORY_CONNECTION,"2037
"
77e280b0-8f79-4844-8913-3ec3ab79913a,_SC_PII,"_SC_PII
"
274740cd-6fe4-4b80-a4bc-e6f179fbc164,_POSIX_THREAD_PRIORITY_SCHEDULING,"200809L
"
d0fc9e39-63bb-406c-94b4-b9e2be00e9a4,PCRE_CONFIG_UTF32,"12
"
166a1989-721e-4c84-93b2-dfeabaeb7b22,__UINT_LEAST16_MAX__,"0xffff
"
8877a894-6efb-44e2-9f46-818c7aacf478,"G_SIZEOF_MEMBER(struct_type,member)",GLIB_AVAILABLE_MACRO_IN_2_64
75fc62a0-9cbb-4a80-bfb2-5b366422a537,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
9d749128-3209-42e2-826f-081bcbffe36d,__FLT128_MAX_10_EXP__,"4932
"
a03e17be-6a4b-4c32-8b72-c3bcf3f05c01,"g_newa(struct_type,n_structs)",((struct_type*)
6be5e6c3-222b-4509-8e32-d97c2f5fa8d6,RE_DUP_MAX,"(0x7fff)
"
622564d7-81c7-4da7-a067-5fbe9ad2919e,SVE_SIG_REGS_OFFSET,((sizeof(struct
fdc06281-bfc0-41e5-9137-f7e5041b4fcb,_SC_NGROUPS_MAX,"_SC_NGROUPS_MAX
"
df36cea8-a4f2-491f-b847-f0420d19eb94,GLIB_DEPRECATED_TYPE_IN_2_34_FOR(f),"GLIB_DEPRECATED_TYPE_FOR(f)
"
b9165527-fb21-40ae-9806-25f7e21a351b,G_CAN_INLINE,"
"
aaa53c80-fd00-4db2-b9ae-224e31308ae1,g_ascii_isupper(c),((g_ascii_table[(guchar)
f6b978ba-320b-4719-a44c-ace56a905c82,__NFDBITS,(8
4715bb02-59c6-4f10-8b29-98b076a08c93,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
871f187f-8179-4b57-9931-de9d01754f9e,PARTITION_EXPR_CHAR_LEN,"2048
"
bc8a4e95-ed38-4563-85c8-f7d2b0ea3370,"__glibc_fortify_n(f,__l,__s,__osz,...)",(__glibc_safe_or_unknown_len
cf147b48-a9a4-4451-aa40-9c7636072611,si_fd,"_sifields._sigpoll.si_fd
"
fe8afa2a-29bf-4d82-b075-8381f9e6810b,_T_WCHAR_,"
"
d5566203-4604-46f3-8d17-d5528be97c78,_SC_IPV6,"_SC_IPV6
"
7e08a207-ef7b-4a3a-b3d7-79e953d5560a,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
81625ee2-28a1-41ea-bf0a-b27c69208e6a,CR_SERVER_LOST_EXTENDED,"2055
"
47028b3c-206d-4177-9f71-57928c4a2a35,_SC_XOPEN_REALTIME,"_SC_XOPEN_REALTIME
"
b4e3878a-2eab-4edb-b5ab-f577064ce73a,__CFLOAT64,_Complex
ca3a2dd0-3f82-40f0-9382-83a16beb22fc,si_arch,"_sifields._sigsys._arch
"
61aa0140-f5e1-4359-9617-9562d6067b47,__S64_TYPE,long
bb02d302-aa69-4f52-90ff-056e9b5cdcfd,GLIB_DEPRECATED_ENUMERATOR,"G_DEPRECATED
"
e5ea51ed-876b-4420-9edf-273ad02aed0e,__SQUAD_TYPE,long
3775b894-f446-41e4-ab56-399222a62a42,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
042ce1bf-e505-4118-a72c-ffd2b50a2812,_SC_EXPR_NEST_MAX,"_SC_EXPR_NEST_MAX
"
d915138d-5730-4cb2-af14-7239dd6074e3,_BITS_SIGINFO_CONSTS_H,"1
"
e43982c0-4551-433c-a2f0-3e560a5625cb,SIGBUS,"7
"
f340d37c-1ef5-4fef-9020-d3a86721fbb7,__GNU_LIBRARY__,"6
"
fc72ebba-4db5-4030-9458-f33899084b39,_SC_SSIZE_MAX,"_SC_SSIZE_MAX
"
6e245224-fe43-49b6-bc55-8a1039bbffc1,__CHAR_BIT__,"8
"
7980990b-705d-43f7-a19c-3608bab7f8e0,_SC_THREAD_SAFE_FUNCTIONS,"_SC_THREAD_SAFE_FUNCTIONS
"
6def637f-7d73-44d4-b22f-e97683bf6a3e,EREMCHG,"78
"
f6a7805c-fb35-4a02-805d-b16ea25bd0bd,"g_atomic_int_set(atomic,newval)",(G_GNUC_EXTENSION
dc91186c-7ff2-4fff-bbe4-70a448f4f032,SIGTTIN,"21
"
72c7b84e-6a75-47c4-87c8-93671df0d49b,PCRE_STUDY_JIT_PARTIAL_SOFT_COMPILE,"0x0002
"
f6f72a52-2c3b-4c4f-afb8-ac3d9b81e0c0,EACCES,"13
"
0de1c9bf-e68b-462d-aeae-07153d33b215,"g_assert_cmpint(n1,cmp,n2)",G_STMT_START
0e07b45a-9b0d-46cd-b884-1f06c95bc917,"g_uint_checked_mul(dest,a,b)","(!__builtin_mul_overflow(a,"
3c36fa2d-06e5-4b03-b1c4-fb17c8df6ee0,CR_ERROR,"0
"
2611eb1f-c3f3-4ef8-8c8f-75f835d2dad6,G_OS_UNIX,"
"
a7c42576-b0a0-46f0-8967-9b7c17e21ecc,G_GNUC_NULL_TERMINATED,"__attribute__((__sentinel__))
"
5dff02c1-36b3-4c3b-9ded-fd00b743f659,EDESTADDRREQ,"89
"
ea010a6b-048a-4496-bcd8-836b70e3050c,__SVE_FFR_OFFSET(vq),(__SVE_PREGS_OFFSET(vq)
d078ea25-9e46-44b8-8aa9-dd5cff2d23d2,__DADDR_T_TYPE,"__S32_TYPE
"
84912e3e-a829-4906-a914-2495cd7685ed,si_pid,"_sifields._kill.si_pid
"
51e139f7-a004-42dd-bfee-b8b4b2a99b22,PCRE_CONFIG_UTF16,"10
"
73abf945-11de-406b-8ff7-f2ad2c3f6a7f,PIPE_BUF,"4096
"
ffbbf772-5f3c-4469-98f8-b39299f82005,PCRE_CONFIG_UNICODE_PROPERTIES,"6
"
1a66f4ff-b793-4ea0-b5b2-e4f4397b0360,G_GSSIZE_MODIFIER,"""l""
"
2a3a3913-b65a-44f5-b50b-030183c5c26d,G_VARIANT_TYPE_STRING,((const
27cecc60-5d92-4f84-906a-29278b2e0c66,stderr,"stderr
"
ac99f57b-b77b-4151-a254-ec4227a02e82,"__GLIBC_PREREQ(maj,min)",((__GLIBC__
be8acfaf-9f60-4243-9293-fd3ce009392a,_CS_POSIX_V7_LP64_OFF64_LINTFLAGS,"_CS_POSIX_V7_LP64_OFF64_LINTFLAGS
"
9b916f52-15e7-4ac8-bbb6-0072c1b766fe,GLIB_DEPRECATED_MACRO_IN_2_52_FOR(f),"GLIB_DEPRECATED_MACRO_FOR(f)
"
f843cb7a-6db9-4eae-9abe-19c92b6689d0,PCRE_INFO_JITSIZE,"17
"
70bc3c8e-2e3a-4677-bc59-a56ad2bf43a1,GLIB_DEPRECATED_ENUMERATOR_IN_2_66_FOR(f),"GLIB_DEPRECATED_ENUMERATOR_FOR(f)
"
fcdf1753-8a4d-440f-afa5-878e4daf266f,_SC_V7_ILP32_OFF32,"_SC_V7_ILP32_OFF32
"
be60ba70-33c9-47bf-8939-feb3f3bc0717,__INT32_C(c),"c
"
b6e04fe6-6518-47dd-92ea-9da495306d66,EMLINK,"31
"
7f6d2884-5071-44ac-964e-087bc992bc7c,__ORDER_LITTLE_ENDIAN__,"1234
"
1cf5ff55-9726-437d-8145-adbaac0651a4,G_LOG_DOMAIN,((gchar*)
a0ee2bd7-9ccc-475f-8e2e-35ace45fcb22,MULTIPLE_KEY_FLAG,"8
"
3c3e7a6d-09d9-4020-9f7b-470b2b6618e6,GLIB_VERSION_CUR_STABLE,(G_ENCODE_VERSION
a7828207-157d-4c74-987c-498c49a6e6c7,__BLKCNT_T_TYPE,"__SLONGWORD_TYPE
"
aba8f62c-78dd-40b1-bbbc-ab016603b6d9,__STATFS_MATCHES_STATFS64,"1
"
a8d3f301-b4d5-4b44-8d0a-7a6ec473d5d1,__G_SLIST_H__,"
"
c2fd9248-da6d-4f31-90ca-26939dc7c316,CR_UNKNOWN_HOST,"2005
"
c56d1b45-4822-46cb-8c9a-fcb2df912ddf,G_VARIANT_TYPE_DICT_ENTRY,((const
5f460dbf-5147-4e8d-951a-f7d2c1a1cd01,CR_CONNECTION_ERROR,"2002
"
d55de96c-5a69-4336-b9c8-1210e7301f1a,GLIB_DEPRECATED_TYPE_IN_2_56_FOR(f),"GLIB_DEPRECATED_TYPE_FOR(f)
"
4a38ccbd-1e45-4762-a393-006f1d6e1d2e,g_ascii_isalpha(c),((g_ascii_table[(guchar)
481262f2-4058-445b-9f46-10249323041c,"g_ptr_array_index(array,index_)","((array)->pdata)[index_]
"
d92697da-c5db-4bd1-8089-895b0e675269,CR_NAMEDPIPE_CONNECTION,"2015
"
116f599f-4d8d-4e3f-b596-edeb2162e0b1,g_ntohl(val),(GUINT32_FROM_BE
77d04398-5278-46f6-929c-4e613a74c6f7,g_ntohs(val),(GUINT16_FROM_BE
e6029b48-236e-409f-9fe1-48e8d96eb2e1,__FLT32X_DECIMAL_DIG__,"17
"
97c32544-6b5c-4779-b286-3122c99afaf5,MYSQL_ERRMSG_SIZE,"512
"
42f05def-4271-4048-a46b-8800ccbb90b9,_SC_SPORADIC_SERVER,"_SC_SPORADIC_SERVER
"
022f6ca7-b4ae-403d-9ec6-4685000a4df0,_IO_USER_LOCK,"0x8000
"
f5e15569-ab07-4166-a94a-e9d650ef7d17,CR_CONN_UNKNOW_PROTOCOL,"2047
"
13efaa43-d8d8-4add-8b1d-bedf0e6b4e9a,GULONG_TO_LE(val),((gulong)
e6538b19-88f2-4074-82b6-11f5a228e10b,_SC_THREAD_PRIO_INHERIT,"_SC_THREAD_PRIO_INHERIT
"
a76f1927-a235-4414-ac8d-e4ab0f346c75,__G_REL_H__,"
"
ec58fd34-9371-4fac-b811-63d942da1489,_XOPEN_VERSION,"700
"
0d2e7e6b-778c-4a9d-a80a-e602d9d60ff5,SCHED_RR,"2
"
