id,name,value
5d7016c9-40ac-406d-8e8b-89d58093354d,__S_IFBLK,"0060000
"
a370c9a4-4bad-45dd-ae84-ff29d1b2de74,__G_BUFFERED_INPUT_STREAM_H__,"
"
3f4ac86e-6cbb-437e-a10d-6924f279b7ed,G_DBUS_METHOD_INVOCATION_UNHANDLED,FALSE
a330ce25-0382-4132-9fa6-f0c0b0e80a24,sa_sigaction,"__sigaction_handler.sa_sigaction
"
304ccaa7-cd79-4ef1-b11b-97b4ecbb99c9,G_IS_SOCKET_CONNECTABLE(obj),(G_TYPE_CHECK_INSTANCE_TYPE
9b1a3cb0-8053-4320-a47b-a0e2b28b2058,_BITS_SCHED_H,"1
"
d6d0e289-6c0a-4491-be40-cd6b32de8de2,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
020efb07-1428-41c3-84f6-290841820645,__G_VERSION_MACROS_H__,"
"
77566181-d1e9-4c46-be7b-4f8d95f41743,GLIB_DEPRECATED_MACRO_IN_2_30_FOR(f),"GLIB_DEPRECATED_MACRO_FOR(f)
"
be64be18-3ad9-40c4-aefd-c7f3f608cbb3,__SSP_STRONG__,"3
"
ec908a49-4bd8-4348-a446-43785a01536b,G_LOG_LEVEL_USER_SHIFT,"(8)
"
b1504cfe-222f-4244-aa46-077393832348,G_IS_INPUT_STREAM(o),(G_TYPE_CHECK_INSTANCE_TYPE
4147c94f-bde9-41e5-8097-dda444fba5fb,__attr_access(x),__attribute__
ae2cc177-1582-4fba-a686-eca4b93a17cf,__G_DATE_H__,"
"
de10c21d-8fb0-465e-a0e5-6db3af0c7eb1,"g_dataset_get_data(l,k)",(g_dataset_id_get_data
0c651339-4aeb-4252-86c8-50dfe8e2ecd3,__DBL_MIN_EXP__,"(-1021)
"
98f31aad-1562-46af-88a3-b2ab49608f6d,G_POLLABLE_INPUT_STREAM(obj),(G_TYPE_CHECK_INSTANCE_CAST
0cb60e24-fd40-45e9-b4a0-698914016868,"g_array_insert_val(a,i,v)",g_array_insert_vals
0b782758-fd61-4527-bb76-bd6ffb35903c,_SC_SEM_NSEMS_MAX,"_SC_SEM_NSEMS_MAX
"
a8c0ec3f-798f-4bda-a1b1-742d59d79e3c,GLIB_DEPRECATED_ENUMERATOR_IN_2_44_FOR(f),"GLIB_DEPRECATED_ENUMERATOR_FOR(f)
"
a74d3a06-6942-416f-b332-2457691a0580,G_FILE_ATTRIBUTE_STANDARD_NAME,"""standard::name""
"
9815c6a2-1043-41e4-9595-892e5dcb1541,EMULTIHOP,"72
"
3ca3434d-d420-4bf0-840d-6032819901f8,"_G_TYPE_CIC(ip,gt,ct)",((ct*)
ea8aed2a-83e3-413a-b34a-dcc0718b8d7c,G_GINT64_MODIFIER,"""l""
"
6e8784b9-db6d-4360-b719-f789db072b1a,EOWNERDEAD,"130
"
9a6a05de-8fa5-4062-9c89-b3db6763bcdb,__G_TCP_WRAPPER_CONNECTION_H__,"
"
1985b923-8342-4179-a6f6-14793774cb2c,G_TYPE_FILTER_INPUT_STREAM,(g_filter_input_stream_get_type
3a30d3cd-e81d-4bce-a266-5a613e0ed469,__CFLOAT32,_Complex
b4601676-e825-4942-a510-171217a731c4,"g_new0(struct_type,n_structs)",_G_NEW
d941d1c5-cd58-4aa3-b206-fc85b68f9c3d,__UINT_LEAST16_MAX__,"0xffff
"
7ca2d481-9506-4d3f-b019-b97bb939ddfa,G_SIMPLE_PROXY_RESOLVER(o),(G_TYPE_CHECK_INSTANCE_CAST
9ad521b9-69f9-4c06-9e7a-926515086ecf,G_FILE_ATTRIBUTE_FILESYSTEM_REMOTE,"""filesystem::remote""
"
d1062c3d-1323-47cb-a6dc-c6a59e357b46,G_IS_DBUS_OBJECT_PROXY_CLASS(k),(G_TYPE_CHECK_CLASS_TYPE
f1031eda-0014-401d-bd72-a8a68c3232f7,"G_SIZEOF_MEMBER(struct_type,member)",GLIB_AVAILABLE_MACRO_IN_2_64
4f65ed59-a579-4ab3-87c1-a84a1094e8c2,_SC_SHRT_MAX,"_SC_SHRT_MAX
"
e9fc5cb0-ebfc-4b37-9585-a5a46229e5ba,__FLT128_MAX_10_EXP__,"4932
"
f3b990d7-5468-4d92-9d47-fa3d76a4e6dd,G_IS_DEBUG_CONTROLLER(o),(G_TYPE_CHECK_INSTANCE_TYPE
eedec488-b604-4e64-a24a-ec41ec23af53,"g_newa(struct_type,n_structs)",((struct_type*)
120ae9ed-7681-4ede-8bdc-4c4eb9532c2d,RE_DUP_MAX,"(0x7fff)
"
999e2068-0651-4d71-9a88-e3aa783c37b8,SVE_SIG_REGS_OFFSET,((sizeof(struct
6fdeba22-176f-4d81-8b0b-4e42693c60cb,G_IS_TASK(o),(G_TYPE_CHECK_INSTANCE_TYPE
9143d01a-75a9-4f8f-9b0a-df3f09e4e9a7,__G_TYPE_H__,"
"
1e5a0df4-a64a-483d-abc4-a9203192ae38,__G_ALLOCATOR_H__,"
"
f65ee9f5-3a2b-4243-b4ab-13b63a08f8c3,G_TYPE_CHARSET_CONVERTER,(g_charset_converter_get_type
78aade51-34eb-40c6-96d3-2647622f32c5,G_TYPE_TIME_ZONE,(g_time_zone_get_type
4205012b-bf2b-4563-80a8-8409607095b8,GLIB_DEPRECATED_TYPE_IN_2_34_FOR(f),"GLIB_DEPRECATED_TYPE_FOR(f)
"
f2be1e8f-7599-4ae8-91f0-4a0635479a57,G_CAN_INLINE,"
"
e844767f-4d81-4f0c-95e9-ac8bf77ba9db,g_ascii_isupper(c),((g_ascii_table[(guchar)
9b6f8696-8229-4e66-8e0e-327705ace29e,__NFDBITS,(8
7dba8cb0-dda2-4e28-aa69-d980aa73ce65,_SC_SPIN_LOCKS,"_SC_SPIN_LOCKS
"
b8929ba7-ef06-453d-8586-e3f65b176b3c,PARTITION_EXPR_CHAR_LEN,"2048
"
95e37d69-73bb-4b2e-8799-db274d5843d4,_PC_MAX_INPUT,"_PC_MAX_INPUT
"
a159c0cd-d436-4545-830d-dc5d50fa79f3,"__glibc_fortify_n(f,__l,__s,__osz,...)",(__glibc_safe_or_unknown_len
6dab0b06-9ac7-4cc8-81e0-9f2912649d89,si_fd,"_sifields._sigpoll.si_fd
"
d3533024-7458-430f-9ec2-13f194991572,_GETOPT_CORE_H,"1
"
dd15b73d-b3b9-462c-96be-6b11c6949ab7,_T_WCHAR_,"
"
d012e9bf-dfa0-4c03-b20e-b9702ffb57df,_SC_IPV6,"_SC_IPV6
"
