id,name,value
76c383fe-c68d-4bf2-98b0-c92df9ee521a,__S_IFBLK,"0060000
"
261b2894-54ba-4aa8-a04d-5cc58a4e4f39,sa_sigaction,"__sigaction_handler.sa_sigaction
"
f5d4ab5a-30ae-46bf-b571-bdfad72f8cea,_BITS_SCHED_H,"1
"
96fd6a30-60db-47e7-babc-f2876aa9a2af,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
a2e57db5-5a3c-4055-803a-6fde499a0c98,__G_VERSION_MACROS_H__,"
"
c136d2be-8bb3-42c1-a0b1-3d4a0b6be893,GLIB_DEPRECATED_MACRO_IN_2_30_FOR(f),"GLIB_DEPRECATED_MACRO_FOR(f)
"
6d501737-6ede-4454-b0d3-a2a0e35eeb91,__SSP_STRONG__,"3
"
ebda380c-d74d-4b2a-bfb7-ca6db38a4924,G_LOG_LEVEL_USER_SHIFT,"(8)
"
24493d0d-4e73-430a-b1f9-20e81f214e81,__attr_access(x),__attribute__
16229b60-2c7c-4409-8ae0-905c32e2816c,__G_DATE_H__,"
"
72d8d147-939f-4629-9351-d121e007cc86,"g_dataset_get_data(l,k)",(g_dataset_id_get_data
5d538e68-5594-482a-80cd-f4140f8f4514,__DBL_MIN_EXP__,"(-1021)
"
47351589-bb7a-4525-be8d-e3b5f6c8e4a1,"g_array_insert_val(a,i,v)",g_array_insert_vals
20b8412a-b219-4b95-9a3c-3b861368d166,_SC_SEM_NSEMS_MAX,"_SC_SEM_NSEMS_MAX
"
f218361b-cfea-4f64-bc63-9b13a7066ee1,GLIB_DEPRECATED_ENUMERATOR_IN_2_44_FOR(f),"GLIB_DEPRECATED_ENUMERATOR_FOR(f)
"
cdefc0f6-ce59-4826-8d52-1716bb688931,EMULTIHOP,"72
"
bbb37e48-28ea-48ee-be97-428c010cdd9c,EMSGSIZE,"90
"
174b5c49-67fc-4690-89dd-c4791f53af46,G_GINT64_MODIFIER,"""l""
"
ffd61aff-f25d-41ed-90f3-a143a36c727b,EOWNERDEAD,"130
"
95c54281-c116-4230-804b-749d072ddc7e,__CFLOAT32,_Complex
ded7df9b-bf43-498c-8494-8dc44945cae0,"g_new0(struct_type,n_structs)",_G_NEW
277aa887-c5ef-4e92-b29d-71307746bb36,__UINT_LEAST16_MAX__,"0xffff
"
01292ed6-2406-4ef6-b45e-a0a5ce7dcbfd,"G_SIZEOF_MEMBER(struct_type,member)",GLIB_AVAILABLE_MACRO_IN_2_64
e7c58fe3-96d5-47f4-a596-d131f8c6200c,_POSIX2_SW_DEV,"__POSIX2_THIS_VERSION
"
a79bda42-54eb-4c9c-b2fe-709a189e632c,__FLT128_MAX_10_EXP__,"4932
"
