id,name,value
29cd6dbc-37c2-4a75-bb02-ae22e9d0f9be,__S_IFBLK,"0060000
"
6700feed-b631-4110-af78-e1c36c67759b,sa_sigaction,"__sigaction_handler.sa_sigaction
"
62bdcb45-a86a-4c50-957c-9ab5146dc66f,_BITS_SCHED_H,"1
"
499b7e2a-7259-41f4-9f32-d016e6b69dfd,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
341da93e-f915-4d1c-85b1-02a266a37264,_XBS5_LP64_OFF64,"1
"
10ffef27-33a6-413c-99b1-066f895e4142,__G_VERSION_MACROS_H__,"
"
a090b16f-93a7-4bfc-a884-4e93552816d0,GLIB_DEPRECATED_MACRO_IN_2_30_FOR(f),"GLIB_DEPRECATED_MACRO_FOR(f)
"
90f29cb8-1e9a-477f-b7ae-fe8100c54512,__SSP_STRONG__,"3
"
7c4dc3a0-991e-43b7-bef3-4c7b11a00d8e,G_LOG_LEVEL_USER_SHIFT,"(8)
"
10a318b6-9420-4eb3-b580-05d05b42e890,__attr_access(x),__attribute__
6b2023c8-216d-4cdf-8bf7-3b22206e5c7b,__G_DATE_H__,"
"
640c65c1-5067-4558-81c0-d9d4b4e271a7,"g_dataset_get_data(l,k)",(g_dataset_id_get_data
a6da253b-e3a6-436b-bc87-5c4a328efb1c,__DBL_MIN_EXP__,"(-1021)
"
c7e5c837-a5d0-4bce-9b31-d7755cd0171c,"g_array_insert_val(a,i,v)",g_array_insert_vals
691c19d6-9639-4ab8-a0d9-6df8b8211045,_SC_SEM_NSEMS_MAX,"_SC_SEM_NSEMS_MAX
"
3bd28e95-f32d-44b3-b712-05fdf2accfd5,GLIB_DEPRECATED_ENUMERATOR_IN_2_44_FOR(f),"GLIB_DEPRECATED_ENUMERATOR_FOR(f)
"
44f817b3-ad0a-46db-88dd-f0471d998c95,EMULTIHOP,"72
"
71e02459-6d2a-4868-b3b1-78c9def83845,G_GINT64_MODIFIER,"""l""
"
2a54748b-9cc7-4514-85c0-31ef5d79d4cd,EOWNERDEAD,"130
"
a37efbf4-b337-4255-8974-8731090b1a80,__CFLOAT32,_Complex
50ac1ec1-320b-44e7-a03b-0f46dc12343a,"g_new0(struct_type,n_structs)",_G_NEW
b2ece514-64f0-45c1-a272-d20bc1a16482,__UINT_LEAST16_MAX__,"0xffff
"
7c290b12-74f1-4855-967e-dd49ac643267,"G_SIZEOF_MEMBER(struct_type,member)",GLIB_AVAILABLE_MACRO_IN_2_64
2ca043d7-e854-4cd7-93be-999f0f9e3d5e,_SC_SHRT_MAX,"_SC_SHRT_MAX
"
e5c78368-1a2b-410f-9455-14b414adcfbc,__FLT128_MAX_10_EXP__,"4932
"
