id,name,value
58254efb-25a4-4dcf-9514-19251041829f,__S_IFBLK,"0060000
"
06390dd8-6c16-4299-be24-2ad720bab173,__G_BUFFERED_INPUT_STREAM_H__,"
"
68b2ec98-394c-4217-8179-7d44f569527c,G_DBUS_METHOD_INVOCATION_UNHANDLED,FALSE
2cca1016-8d99-45f1-b48b-071730dbc049,sa_sigaction,"__sigaction_handler.sa_sigaction
"
5df79176-9e2d-4bc2-8496-61f8b2dd07bd,G_IS_SOCKET_CONNECTABLE(obj),(G_TYPE_CHECK_INSTANCE_TYPE
c3e1fe8b-12a5-4a0a-9131-df5476687015,_BITS_SCHED_H,"1
"
c59e8e9b-029e-48a0-b8e7-7a0fd8757dfa,_SC_CHAR_MIN,"_SC_CHAR_MIN
"
46ed827e-4bfc-4516-8e05-751b2829a4d9,G_TYPE_PARAM_UINT64,"(g_param_spec_types[8])
"
5d2cf3a3-d7d1-4d1b-808c-b0b2871f828f,__G_VERSION_MACROS_H__,"
"
c7cd005f-9ef9-4eba-91c5-1f3d872b6282,GLIB_DEPRECATED_MACRO_IN_2_30_FOR(f),"GLIB_DEPRECATED_MACRO_FOR(f)
"
5e1b5a12-3f5f-49bf-a118-8cdbe06768c4,__SSP_STRONG__,"3
"
df3044eb-20d1-460d-8faa-f682701ce9b2,G_LOG_LEVEL_USER_SHIFT,"(8)
"
30c66c60-4bf2-4bee-9750-686937920803,G_IS_INPUT_STREAM(o),(G_TYPE_CHECK_INSTANCE_TYPE
11f77a73-1d18-4732-a7b3-6eda69c7a8cb,__attr_access(x),__attribute__
3f5671e9-673f-4989-a4b2-90a6ab70dac3,__G_DATE_H__,"
"
b59eba74-47e1-4198-831a-3d62a2ee482c,"g_dataset_get_data(l,k)",(g_dataset_id_get_data
23849e34-59fc-4c27-a3fa-110b7db15bfb,__DBL_MIN_EXP__,"(-1021)
"
bba781d4-3ce9-45d8-a4f4-be1df32116eb,G_POLLABLE_INPUT_STREAM(obj),(G_TYPE_CHECK_INSTANCE_CAST
83ce5396-f61b-4c58-b547-5a0c5d2b4456,"g_array_insert_val(a,i,v)",g_array_insert_vals
1fd36fdb-7939-417d-a44c-351385f0837f,_SC_SEM_NSEMS_MAX,"_SC_SEM_NSEMS_MAX
"
71c7a581-6c8d-4741-96fb-84d79b6c06e4,GLIB_DEPRECATED_ENUMERATOR_IN_2_44_FOR(f),"GLIB_DEPRECATED_ENUMERATOR_FOR(f)
"
4fbfed20-b2a6-4c9b-afc3-6514e98890f1,G_FILE_ATTRIBUTE_STANDARD_NAME,"""standard::name""
"
25358f74-f2b7-4b95-8ffa-ec719fb39806,EMULTIHOP,"72
"
4044b57c-dfed-4757-b888-6df3133046fe,G_GINT64_MODIFIER,"""l""
"
c62fefc9-cfe9-476e-b71b-17a7a5f42fe4,CR_SHARED_MEMORY_CONNECTION,"2037
"
e803ffb5-46a1-46cc-9100-3aad0ac66947,_SC_PII,"_SC_PII
"
38130a95-ace5-40cb-aea0-b46990fc646b,__G_TCP_WRAPPER_CONNECTION_H__,"
"
