id,name,value
ee729a46-6912-4c37-b10b-5c705a34e9df,sa_sigaction,"__sigaction_handler.sa_sigaction
"
988fef6c-7e62-43c9-8152-cb2102d66c4f,_BITS_SCHED_H,"1
"
d4847f8a-6344-4a06-8e86-6a0029a8bcff,__G_VERSION_MACROS_H__,"
"
921c4ab1-30ef-45e8-919a-1c027dba1120,GLIB_DEPRECATED_MACRO_IN_2_30_FOR(f),"GLIB_DEPRECATED_MACRO_FOR(f)
"
560d52d0-dd61-484d-9385-8c3f2d0c0370,__SSP_STRONG__,"3
"
aab4bb82-2700-4df3-82f8-4503fb9272ac,G_LOG_LEVEL_USER_SHIFT,"(8)
"
128c5fda-a073-41f9-a708-c495a2a05cd3,__attr_access(x),__attribute__
fcaae2ba-f77a-4319-9b85-ba2351662e2d,__G_DATE_H__,"
"
00092762-3345-484b-b94e-a9ec6fcda971,"g_dataset_get_data(l,k)",(g_dataset_id_get_data
01db91ea-57f7-4300-91fe-6a28b9ccdd2a,__DBL_MIN_EXP__,"(-1021)
"
c37d256c-30a1-4b1b-b211-105d9a2cae6a,"g_array_insert_val(a,i,v)",g_array_insert_vals
3028b5f8-0a36-427d-bef2-87827c4a771e,GLIB_DEPRECATED_ENUMERATOR_IN_2_44_FOR(f),"GLIB_DEPRECATED_ENUMERATOR_FOR(f)
"
ed2515b3-b246-4d78-b1c3-aefc3e791757,EMULTIHOP,"72
"
fe61a5fb-8e4b-415d-bda8-a021306db4a0,G_GINT64_MODIFIER,"""l""
"
5c238eeb-9a7f-458f-90f2-b73627f1e1cf,CR_SHARED_MEMORY_CONNECTION,"2037
"
d5575b96-0509-411b-bf33-1c112f5b0048,__CFLOAT32,_Complex
6ed7830d-99e6-40fe-b606-4a9be6c4dc5f,PCRE_CONFIG_UTF32,"12
"
f9a44246-95ff-426d-b0f5-260b6c17ad36,__UINT_LEAST16_MAX__,"0xffff
"
00dc8ea4-914b-40e9-adef-aaf9881dd8c9,"G_SIZEOF_MEMBER(struct_type,member)",GLIB_AVAILABLE_MACRO_IN_2_64
7091a59b-a4a5-4b3c-a280-96ba922ca606,__FLT128_MAX_10_EXP__,"4932
"
205415ec-d294-4d28-a3e5-32eedcda9b58,"g_newa(struct_type,n_structs)",((struct_type*)
cd43c02c-a26f-48fb-82f1-34dae21119a2,RE_DUP_MAX,"(0x7fff)
"
0aba819f-f22d-462c-aca7-06956ebd9fbf,SVE_SIG_REGS_OFFSET,((sizeof(struct
affbedb9-2494-44b4-a9df-4450aec5a6a4,__G_ALLOCATOR_H__,"
"
f9229e80-f2e6-45a6-8142-44f839ed0638,GLIB_DEPRECATED_TYPE_IN_2_34_FOR(f),"GLIB_DEPRECATED_TYPE_FOR(f)
"
ce0c0409-86ce-443a-b1ad-d5749f34646f,G_CAN_INLINE,"
"
e6a57dfe-e216-4292-a8f9-f7ba6fae9426,g_ascii_isupper(c),((g_ascii_table[(guchar)
8027e360-3c77-489a-a966-e03c47cd5edf,__NFDBITS,(8
52f630b3-ff28-4894-8ee1-7f23044cab8c,PARTITION_EXPR_CHAR_LEN,"2048
"
bd93d7cd-ab43-4176-8cf6-0e1f353cef74,"__glibc_fortify_n(f,__l,__s,__osz,...)",(__glibc_safe_or_unknown_len
6a8f1d28-dcb0-47f2-a21d-a1c20e296560,si_fd,"_sifields._sigpoll.si_fd
"
b660a7c7-edd9-4d60-b036-8406fd5ba746,_T_WCHAR_,"
"
af585d7c-8305-490a-ae67-a3e38cfb8ce9,__LDOUBLE_REDIRECTS_TO_FLOAT128_ABI,"0
"
92f4774a-6e8a-4cf9-b725-06ce808e5b7e,CR_SERVER_LOST_EXTENDED,"2055
"
6087c68a-2453-4502-bd48-d04d3f80d2a0,__CFLOAT64,_Complex
693bf677-b00d-409c-afdb-c1c6d632c785,si_arch,"_sifields._sigsys._arch
"
c7c32e73-d0fe-474d-9c1d-5361fb02dbcd,__S64_TYPE,long
3685f60b-d51e-4863-8551-6c59b654302a,GLIB_DEPRECATED_ENUMERATOR,"G_DEPRECATED
"
4fba1856-76b1-4e98-a4f3-70a36b800037,__SQUAD_TYPE,long
dbc58463-61e3-4369-a876-5212e2576667,__SIZEOF_PTHREAD_CONDATTR_T,"8
"
d661ba7d-986c-4ec3-b8fb-d49e3327a4f6,_BITS_SIGINFO_CONSTS_H,"1
"
2df92f1c-336f-4ab4-87c6-454e61c150d5,SIGBUS,"7
"
2c5a0ac0-a2a8-4bc3-a21f-67a56f8ac79f,__GNU_LIBRARY__,"6
"
5587dbaa-f031-4b23-b8f2-c40b6026706d,__CHAR_BIT__,"8
"
f8d1ff6e-b426-4f0b-b50a-d08950fdc610,EREMCHG,"78
"
cc6aebd9-517a-489b-b032-5a666a2ff42b,"g_atomic_int_set(atomic,newval)",(G_GNUC_EXTENSION
3eb96004-9ec3-4893-967c-e05ee8f76c33,SIGTTIN,"21
"
4bdcc67a-8a05-42c4-bb33-b46ae6bc6210,PCRE_STUDY_JIT_PARTIAL_SOFT_COMPILE,"0x0002
"
515a0508-4764-44f0-884a-95983574c1ee,EACCES,"13
"
ddb40cbe-1ca1-4382-b6b5-97232ee61b61,"g_assert_cmpint(n1,cmp,n2)",G_STMT_START
c156d19c-73a1-4d4c-ad9a-17adc5b7f823,"g_uint_checked_mul(dest,a,b)","(!__builtin_mul_overflow(a,"
3b3e8ec5-9047-49c5-bbec-0dedfff85f39,CR_ERROR,"0
"
42d67a3b-0cc9-4520-947c-cdbc7b097c55,G_OS_UNIX,"
"
5eb6010f-b372-43a0-afcf-f75c7fb5e57d,G_GNUC_NULL_TERMINATED,"__attribute__((__sentinel__))
"
59531943-7b03-440b-b078-b6682747acfe,EDESTADDRREQ,"89
"
400df26a-cdf5-4a4a-a9c7-a3030fb3f56f,__SVE_FFR_OFFSET(vq),(__SVE_PREGS_OFFSET(vq)
40dd67c1-c49f-4c8a-b0a4-289afcdc23b1,__DADDR_T_TYPE,"__S32_TYPE
"
afb7230e-b4f4-4bb8-b069-de51ceeccfc8,si_pid,"_sifields._kill.si_pid
"
