id,name,value
cd3b06e0-84cc-4624-9121-0fe25bb62a9b,snprintf,_snprintf
ae260c6e-d4d2-4627-ba86-7adf92997030,vsnprintf,_vsnprintf
d0922890-cd6c-41c4-b0d3-ec2e5ab94dae,DELIM_LEN_LEFT,(sizeof(DELIMITER_LEFT) - 1)
f4979390-d301-4696-a207-e42dd0e8e45c,DELIM_LEN_RIGHT,(sizeof(DELIMITER_RIGHT) - 1)
154ba465-4424-4a02-8cf9-d897f1cc90f7,SEC_HEAD_LEN,(sizeof(SECTIONTAG_HEAD) - 1)
4189c5d4-64ef-4ea8-90d1-26165dacf083,SEC_TAIL_LEN,(sizeof(SECTIONTAG_TAIL) - 1)
4ae9118d-8004-4d34-b08f-d7ebbffabc50,M_MIN,(((a) < (b)) ? (a) : (b))
cfe45b1a-aeb9-447d-8295-08a39dd2d4c5,M_MAX,(((a) > (b)) ? (a) : (b))
1c6436fe-740e-4ff6-a3e6-257236314f4f,M_NODE_LEN,(((n)->val) ? (n)->len : (n)->fval->len)
e73e3bbd-2a34-4a6c-8c9e-a48f0203cbd7,M_NODE_TEXT,(((n)->val) ? (n)->val : (n)->fval->val)
bfd3a51c-3c99-4bf8-9f2b-e6cc236cace1,M_INT_TO_STRING,"do \
    { \
        char rev[5 * sizeof(int) / 2]; \
        int i = 0, digits = 0; \
        if ((signed_v) && (val) < 0) \
        { \
            buffer[i] = '-'; \
            i++; \
        } \
        do \
        { \
            rev[digits++] = '0' + abs((val) % 10); \
            (val) /= 10; \
        } \
        while ((val) != 0); \
        for (; digits > 0 && i < (buffer_len); i++) \
            buffer[i] = rev[--digits]; \
        buffer[i] = 0; \
        (buffer_len) = i; \
    } while (0)"
f3c50496-146e-470f-9c7d-916ac113d51b,tpl_get_field,"tpl_produce_field((tpl), (key), strlen((key)), 0, 0)"
abbb1ab3-5b5e-4d01-a9b2-596b9402eaac,tpl_new_field,"tpl_produce_field((tpl), (key), (key_len), 0, 1)"
5a204758-c4d3-43a6-8d2d-886586908267,tpl_cpy_field,"do \
    { \
        (field) = tpl_produce_field((tpl), (key), (key_len), (data_len), 1); \
        if ((field)->len == 0 && (data_len) != 0) \
        { \
            (void)memcpy((field)->val, (data), (data_len));\
            (field)->val[(data_len)] = 0; \
            (field)->len = (data_len); \
        } \
    } while (0)"
2a67a8a6-c1db-45fe-9c28-842e9091647b,tpl_get_section,"tpl_produce_section(tpl, key, strlen(key), 0)"
c1fa2e5d-6472-4a08-8eb6-89db814206c4,tpl_make_section,"tpl_produce_section(tpl, key, key_len, 1)"
