id,name,value
cea0dc04-1423-4230-a95e-c30fd82de118,READ_LOCALS,"nodeTypeName *local_node = (nodeTypeName *)node; \
        char *token; \
        int  length;"
7478370e-909c-4d46-a781-a65c70621505,READ_INT_FIELD,"token = pg_strtok(&length); \
        token = pg_strtok(&length); \
        local_node->fldname = atoi(token)"
9b479527-8e55-4c64-894a-def205136e17,READ_UINT_FIELD,"token = pg_strtok(&length); \
        token = pg_strtok(&length); \
        local_node->fldname = atoui(token)"
76d527c4-e35c-4ebd-a834-69decff52ca5,READ_UINT64_FIELD,"token = pg_strtok(&length); \
        token = pg_strtok(&length); \
        local_node->fldname = pg_strtouint64(token, NULL, 10)"
b61eb2d0-a494-4ed7-b8b8-747dfc1c1110,READ_LONG_FIELD,"token = pg_strtok(&length); \
        token = pg_strtok(&length); \
        local_node->fldname = atol(token)"
8630ab10-a3df-415a-af65-995241e502fb,READ_OID_FIELD,"token = pg_strtok(&length); \
        token = pg_strtok(&length); \
        local_node->fldname = atooid(token)"
931190e3-aa47-44f2-8faa-ca6c249f9b23,READ_CHAR_FIELD,"token = pg_strtok(&length); \
        token = pg_strtok(&length); \
        "
502c300e-b1bc-4347-865f-0facd7f0d655,READ_ENUM_FIELD,"token = pg_strtok(&length); \
        token = pg_strtok(&length); \
        local_node->fldname = (enumtype) atoi(token)"
866bd472-af65-42e5-ac4d-0184237dfe40,READ_FLOAT_FIELD,"token = pg_strtok(&length); \
        token = pg_strtok(&length); \
        local_node->fldname = atof(token)"
14cd2abb-e8c7-4b4e-9ab7-74d2001b0829,READ_BOOL_FIELD,"token = pg_strtok(&length); \
        token = pg_strtok(&length); \
        local_node->fldname = strtobool(token)"
abf9fb1d-6e53-42e9-acce-9b9ead1cd504,READ_STRING_FIELD,"token = pg_strtok(&length); \
        token = pg_strtok(&length); \
        local_node->fldname = non_nullable_string(token, length)"
ff15eb5e-89df-4dd5-b16f-ca6b97603344,READ_LOCATION_FIELD,"token = pg_strtok(&length); \
        token = pg_strtok(&length); \
        (void) token; \
        local_node->fldname = -1"
661a6623-0132-44d5-8c8b-85edc130e641,READ_NODE_FIELD,"token = pg_strtok(&length);  \
        (void) token; \
        local_node->fldname = nodeRead(NULL, 0)"
0b19e8b5-f656-41b4-b02e-d60a9d0aab83,READ_BITMAPSET_FIELD,"token = pg_strtok(&length); \
        (void) token; \
        local_node->fldname = _readBitmapset()"
7720d82d-7231-46b2-a142-d6defbe95692,READ_ATTRNUMBER_ARRAY,"token = pg_strtok(&length); \
        local_node->fldname = readAttrNumberCols(len);"
5477cec7-166c-412a-b94b-112c8178eae3,READ_OID_ARRAY,"token = pg_strtok(&length); \
        local_node->fldname = readOidCols(len);"
006115f3-a856-43ae-857d-c67d57f12e1e,READ_INT_ARRAY,"token = pg_strtok(&length); \
        local_node->fldname = readIntCols(len);"
8fb774e4-7f19-49e3-bca1-ce8eee56eb01,READ_BOOL_ARRAY,"token = pg_strtok(&length); \
        local_node->fldname = readBoolCols(len);"
9a60e6de-6520-4c6b-8318-bc9f4a22f29b,atoui,"((unsigned int) strtoul((x), NULL, 10))"
ef36e309-8c25-4079-8633-4a30eb412871,strtobool,((*(x) == 't') ? true : false)
c5f225c1-4d97-488f-bfeb-162ddfe744ec,nullable_string,"((length) == 0 ? NULL : debackslash(token, length))"
bb066cb9-e2e0-434e-ad05-842e882d4344,non_nullable_string,"((length) == 0 ? """" : debackslash(token, length))"
