id,name,value
9efec8cb-5872-43df-b58d-ff82615d5af3,INT64_FORMAT,PRId64
c0063fc2-440c-43aa-8288-e5cbfc395e34,UINT64_FORMAT,PRIu64
3864e368-7760-47e6-a479-a623290d6a0f,INT64_HEX_FORMAT,PRIx64
e117f1ec-96a3-4f81-9fca-52beea2f2792,UNUSED,(void) (x)
989be380-93a4-4936-b4fb-0eeae150b32c,round,dbl >= 0.0 ? (int) (dbl + 0.5) : ((dbl - (double) (int) dbl) <= -0.5 ? (int) dbl : (int) (dbl - 0.5))
b74db116-ebab-401c-9214-3c65e05a64bf,CHUNK_SIZE,256
f4b4fb75-0874-4a00-a6a4-7bbfc7913316,BINN_STRUCT,1
3385930d-b670-472f-9737-b1a9e99eb94d,BINN_BUFFER,2
350d0b92-0904-4407-804b-d430b4e359fb,__BIG_ENDIAN,0x1000
9ecb03e3-9c24-47b1-8ed1-b6d07ccd5655,__LITTLE_ENDIAN,0x0001
4c27eecd-a9fb-4950-b235-c2fb31c1fcb2,__BYTE_ORDER,__LITTLE_ENDIAN
a6de2b2f-a739-4d8f-a227-a32674bf48b1,__BIG_ENDIAN,BIG_ENDIAN
9b9133f5-1da2-4d8a-aeae-a6d053e8ebba,__LITTLE_ENDIAN,LITTLE_ENDIAN
8b459346-8080-4875-86c0-7ab1551521e2,__BYTE_ORDER,BYTE_ORDER
fc559b3b-bcf6-4b18-82a9-6a25cf42bc4d,__BIG_ENDIAN,BIG_ENDIAN
63b26b0a-1bab-4c79-b7ec-d28e273d5c8c,__LITTLE_ENDIAN,LITTLE_ENDIAN
445c4f82-c6d1-4db7-8695-18e71f4e3976,__BYTE_ORDER,BYTE_ORDER
b6c4bff3-e549-463f-941e-728c9fc04bc0,tobe16,(x)
873d1c5e-644f-48f3-b9d6-ae1b40a66968,tobe32,(x)
42e5ba80-cd85-4451-8575-e65067922edd,tobe64,(x)
ad9d4536-1f04-4466-96bf-51c6b1eb46f3,tobe16,IW_SWAB16(x)
d84b384d-5c02-4ca6-9c43-2b46b6683685,tobe32,IW_SWAB32(x)
7eb0e102-b153-4eb7-be01-76554eeb9227,tobe64,IW_SWAB64(x)
a9897501-b876-4e17-a3b9-bab8128a9bde,frombe16,tobe16
6a491a40-964c-41bd-884f-b030cbf8c5ac,frombe32,tobe32
7d4c7751-491a-4043-8a4d-5f9ded537d5b,frombe64,tobe64
54659ab1-7fa9-4123-8e9a-05e97c48c012,stricmp,strcasecmp
5acc8e16-36c7-4e16-b689-c8b2fd5a6be4,strnicmp,strncasecmp
090a611c-3861-4d5c-8980-62793f881696,atoi64,_atoi64
