id,name,value
83c43666-f1d1-49d8-af7a-bfd4b21bdf1e,UTF8PROC_HANGUL_SBASE,0xAC00
e1eee2ff-06ba-40d2-8813-c093efbf09c5,UTF8PROC_HANGUL_LBASE,0x1100
abfb4011-e4a2-4551-8d90-bf7e94bd6610,UTF8PROC_HANGUL_VBASE,0x1161
a00cf46c-4415-4e21-b6cb-0008391117bc,UTF8PROC_HANGUL_TBASE,0x11A7
45c1286c-b48b-4c5a-b68f-3706a15a57f4,UTF8PROC_HANGUL_LCOUNT,19
d1869c2c-4d4b-428a-9bd9-73a80bd3a008,UTF8PROC_HANGUL_VCOUNT,21
70168319-30a5-488c-9f8e-dd0d1744f839,UTF8PROC_HANGUL_TCOUNT,28
202b11ee-29a1-453f-bd4c-9c48adbffc77,UTF8PROC_HANGUL_NCOUNT,588
294c9d27-1921-4e93-9443-3f256fded402,UTF8PROC_HANGUL_SCOUNT,11172
95a99853-4199-4fc7-8500-44aa85328e3a,UTF8PROC_HANGUL_L_START,0x1100
508825f6-8727-4b32-b8b9-3d169b268885,UTF8PROC_HANGUL_L_END,0x115A
fc51c3d8-720f-41b2-861d-8a781436f1ba,UTF8PROC_HANGUL_L_FILLER,0x115F
3981560b-b845-41e9-b1ec-50c5d32ea3da,UTF8PROC_HANGUL_V_START,0x1160
d6e98632-4e04-42c9-9589-1cb103a4e18a,UTF8PROC_HANGUL_V_END,0x11A3
14268aad-4901-4ebd-859f-1f49f2c184d0,UTF8PROC_HANGUL_T_START,0x11A8
5be82c7a-6b5d-4387-9460-683beaec552b,UTF8PROC_HANGUL_T_END,0x11FA
c7706f72-f4d9-482e-9d2d-c44930c9c3b1,UTF8PROC_HANGUL_S_START,0xAC00
5b76a8b9-6cd5-45c1-960e-1840bf90a447,UTF8PROC_HANGUL_S_END,0xD7A4
5b5d94d8-7806-4152-ac19-ca65872ec6b9,STRINGIZEx,#x
4d416796-0146-4927-a7ca-71ced42625d2,STRINGIZE,STRINGIZEx(x)
2e13688f-7bf7-4b66-ba4b-7e8ad6d5d55b,utf_cont,(((ch) & 0xc0) == 0x80)
