id,name,value
6c55480b-b87c-47bb-8ad0-2d6d7cfcf9fb,T0_VBYTE,(unsigned char)((((uint32_t)(x) >> (n)) & 0x7F) | 0x80)
815e7a17-b107-400d-829f-3de467425f7c,T0_FBYTE,(unsigned char)(((uint32_t)(x) >> (n)) & 0x7F)
89a144be-4c60-4a06-8483-cf442b6ca3f0,T0_SBYTE,(unsigned char)((((uint32_t)(x) >> 28) + 0xF8) ^ 0xF8)
89c70d89-2075-453c-bdf0-87b87f967800,T0_INT1,"T0_FBYTE(x, 0)"
cc4b5227-4cab-4b19-936b-87c08f0660e4,T0_INT2,"T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
36e960b6-db66-4961-a034-69deda192367,T0_INT3,"T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
e3edeeed-f2f7-4199-b691-129649c2dbf0,T0_INT4,"T0_VBYTE(x, 21), T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
6ecb9208-b9c4-4719-9da0-ff6ab830e04d,T0_INT5,"T0_SBYTE(x), T0_VBYTE(x, 21), T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
f2bcec6a-d18d-46eb-b65a-ca6b777fd992,CTX,"((br_pem_decoder_context *)(void *)((unsigned char *)t0ctx - offsetof(br_pem_decoder_context, cpu)))"
3248c851-b52a-479a-a652-7914b8e6cbcb,T0_INTERPRETED,29
8c6c2a7e-0415-4a8a-95d9-3453723ed9c1,T0_ENTER,"do { \
		const unsigned char *t0_newip; \
		uint32_t t0_lnum; \
		t0_newip = &t0_codeblock[t0_caddr[(slot) - T0_INTERPRETED]]; \
		t0_lnum = t0_parse7E_unsigned(&t0_newip); \
		(rp) += t0_lnum; \
		*((rp) ++) = (uint32_t)((ip) - &t0_codeblock[0]) + (t0_lnum << 16); \
		(ip) = t0_newip; \
	} while (0)"
ad79415a-f4e5-4b92-b522-7ca74a9c5b67,T0_DEFENTRY,"void \
name(void *ctx) \
{ \
	t0_context *t0ctx = ctx; \
	t0ctx->ip = &t0_codeblock[0]; \
	T0_ENTER(t0ctx->ip, t0ctx->rp, slot); \
}"
9a99c833-fb84-4d19-a8b1-0dc211e9cfb1,T0_NEXT,(*(*(t0ipp)) ++)
78898459-dba0-4291-837c-900bdde54d03,T0_LOCAL,(*(rp - 2 - (x)))
0164e6b5-3f49-4b35-973b-453ad0aa4c31,T0_POP,(*-- dp)
a8cd6fe1-0d9f-4152-9c79-de25c178c7ee,T0_POPi,(*(int32_t *)(-- dp))
a8ab4b80-1bc3-432e-92ce-bdaea6d4d716,T0_PEEK,(*(dp - 1 - (x)))
6c4088e7-89bc-468c-a467-a048e18c7867,T0_PEEKi,(*(int32_t *)(dp - 1 - (x)))
d5d327ed-e721-459d-921d-8b7989661780,T0_PUSH,do { *dp = (v); dp ++; } while (0)
9583e307-3989-462e-ab1d-90f240ce8749,T0_PUSHi,do { *(int32_t *)dp = (v); dp ++; } while (0)
f4178cc7-3810-46ec-8c82-5d4259e94326,T0_RPOP,(*-- rp)
6e15510c-a7c1-415f-bdcc-78dd0898d644,T0_RPOPi,(*(int32_t *)(-- rp))
70bc2e4d-1a5f-4f7d-a8e0-b45035414d3a,T0_RPUSH,do { *rp = (v); rp ++; } while (0)
f14d0086-54b0-4918-ba14-108a45136b5e,T0_RPUSHi,do { *(int32_t *)rp = (v); rp ++; } while (0)
8a912874-08bb-48a4-8238-4fbe314b3798,T0_ROLL,"do { \
	size_t t0len = (size_t)(x); \
	uint32_t t0tmp = *(dp - 1 - t0len); \
	memmove(dp - t0len - 1, dp - t0len, t0len * sizeof *dp); \
	*(dp - 1) = t0tmp; \
} while (0)"
6f45e9c0-f5b3-4658-ae93-57725c07908f,T0_SWAP,"do { \
	uint32_t t0tmp = *(dp - 2); \
	*(dp - 2) = *(dp - 1); \
	*(dp - 1) = t0tmp; \
} while (0)"
308f2ca1-af70-423a-bcbc-6d2094e9dde2,T0_ROT,"do { \
	uint32_t t0tmp = *(dp - 3); \
	*(dp - 3) = *(dp - 2); \
	*(dp - 2) = *(dp - 1); \
	*(dp - 1) = t0tmp; \
} while (0)"
a46b0325-2053-4f92-ac53-db93ab4c5f79,T0_NROT,"do { \
	uint32_t t0tmp = *(dp - 1); \
	*(dp - 1) = *(dp - 2); \
	*(dp - 2) = *(dp - 3); \
	*(dp - 3) = t0tmp; \
} while (0)"
e2afde65-7bec-4be0-a7fb-36a3830307e9,T0_PICK,"do { \
	uint32_t t0depth = (x); \
	T0_PUSH(T0_PEEK(t0depth)); \
} while (0)"
67989cc6-671a-4fa1-86da-54bca700e0ed,T0_CO,"do { \
	goto t0_exit; \
} while (0)"
766ee085-5d4c-40cc-b987-8e020ebec452,T0_RET,goto t0_next
