id,name,value
519410b0-7bd0-4411-af67-2b0138207fcf,I15_LEN,((BR_MAX_EC_SIZE + 29) / 15)
b369c7f4-2f1c-44d2-a3f3-16589d26f47d,MSET,(0x0000 + ((d) << 8) + ((a) << 4))
a3ebc36b-a955-4875-93ed-bf1a6a4942f0,MADD,(0x1000 + ((d) << 8) + ((a) << 4))
f36d9a50-4362-4801-a84f-5e613791d769,MSUB,(0x2000 + ((d) << 8) + ((a) << 4))
d68993d7-d3fd-424c-8b85-1055568a2eeb,MMUL,(0x3000 + ((d) << 8) + ((a) << 4) + (b))
b66a1d27-b2d6-494c-8689-84eda9937f22,MINV,(0x4000 + ((d) << 8) + ((a) << 4) + (b))
2c1b44ea-4ba2-4b9b-8ddb-24afd723025b,MTZ,(0x5000 + ((d) << 8))
6cb825b3-602d-4b4f-9e61-afb1b1415bff,ENDCODE,0
429c4dc0-eac8-48b6-96a3-181d898d861d,P1x,0
beb5b91a-68d2-4470-bbfb-aac3a4cd8003,P1y,1
2d78a47e-2721-490b-aae7-05f220cfde25,P1z,2
6ecbe35a-0731-4791-aa29-129e77756652,P2x,3
f9068efb-aba8-41c9-a23a-2056c7bc9593,P2y,4
1902d8c4-8654-454d-90d7-f26f18087724,P2z,5
98144b3e-4ce1-48ec-881b-96b1b346ea77,Px,0
46da83ef-e8c5-47f5-8bdc-5364c750e23d,Py,1
ccbe5f5b-2dd1-4018-ad58-ef3c882ca58e,Pz,2
57c42e89-eeb3-4961-841a-d93c6c45ad7f,t1,6
fc290fd7-deca-4701-b16b-ab468abb8eef,t2,7
f3b7914a-5d97-4493-8213-e0f019b8efc2,t3,8
790a216d-987d-49dd-9fc1-b3dde20e316f,t4,9
4a4130cf-bdf9-419b-be3e-f37ab2262ec0,t5,10
aff94b7d-af6c-4f75-a8a0-8376d332a264,t6,11
c883f8b2-42e7-4347-b3ee-38172f590fdd,t7,12
9a384141-375d-4e14-93d5-be14683d88bc,t8,3
4aa9c29f-f864-48bc-a6bf-84a9b0bbdbe2,t9,4
aba2e773-fad7-4be7-bda9-8389f5bd443a,t10,5
