id,name,value
59bf2d92-e300-45c0-ab05-52a09d98cac2,BR_ENABLE_INTRINSICS,1
d043dcb9-b1c9-4fd6-b8e5-55e92971339f,BYTESWAP_DECL,
f64b568c-9fd9-402a-9134-cb96517d52f7,BYTESWAP_PREP,(void)0
a750f7d4-8f72-4d47-ae88-7e09bcdc6d90,BYTESWAP,"do { \
		__m128i byteswap1, byteswap2; \
		byteswap1 = (x); \
		byteswap2 = _mm_srli_epi16(byteswap1, 8); \
		byteswap1 = _mm_slli_epi16(byteswap1, 8); \
		byteswap1 = _mm_or_si128(byteswap1, byteswap2); \
		byteswap1 = _mm_shufflelo_epi16(byteswap1, 0x1B); \
		byteswap1 = _mm_shufflehi_epi16(byteswap1, 0x1B); \
		(x) = _mm_shuffle_epi32(byteswap1, 0x4E); \
	} while (0)"
dad85fb5-c632-40ef-9f30-497d0276edaa,BYTESWAP_DECL,__m128i byteswap_index;
fb792189-74f6-4928-84ef-43792dd5dcc2,BYTESWAP_PREP,"do { \
		byteswap_index = _mm_set_epi8( \
			0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15); \
	} while (0)"
5eda4503-f781-41c1-b2e6-d11990d9e787,BYTESWAP,"do { \
		(x) = _mm_shuffle_epi8((x), byteswap_index); \
	} while (0)"
1c420f97-19fb-4ea4-ba85-0f0352a7a51c,pclmulqdq00,"_mm_clmulepi64_si128(x, y, 0x00)"
0807f843-4164-421c-8707-083472ff1865,pclmulqdq11,"_mm_clmulepi64_si128(x, y, 0x11)"
cad01be9-96bd-4bcf-9688-b4a3dab8df72,BK,"do { \
		kx = _mm_xor_si128(kw, _mm_shuffle_epi32(kw, 0x0E)); \
	} while (0)"
ef072148-bb39-411d-85dd-561f6d64997f,PBK,"do { \
		kw = _mm_unpacklo_epi64(k1, k0); \
		kx = _mm_xor_si128(k0, k1); \
	} while (0)"
30be33f9-517e-4e9c-96b1-1bcb0545d01b,SL_256,"do { \
		x0 = _mm_or_si128( \
			_mm_slli_epi64(x0, 1), \
			_mm_srli_epi64(x1, 63)); \
		x1 = _mm_or_si128( \
			_mm_slli_epi64(x1, 1), \
			_mm_srli_epi64(x2, 63)); \
		x2 = _mm_or_si128( \
			_mm_slli_epi64(x2, 1), \
			_mm_srli_epi64(x3, 63)); \
		x3 = _mm_slli_epi64(x3, 1); \
	} while (0)"
8fb0b9f4-adcd-485b-8101-84d10d6e1eef,REDUCE_F128,"do { \
		x1 = _mm_xor_si128( \
			x1, \
			_mm_xor_si128( \
				_mm_xor_si128( \
					x3, \
					_mm_srli_epi64(x3, 1)), \
				_mm_xor_si128( \
					_mm_srli_epi64(x3, 2), \
					_mm_srli_epi64(x3, 7)))); \
		x2 = _mm_xor_si128( \
			_mm_xor_si128( \
				x2, \
				_mm_slli_epi64(x3, 63)), \
			_mm_xor_si128( \
				_mm_slli_epi64(x3, 62), \
				_mm_slli_epi64(x3, 57))); \
		x0 = _mm_xor_si128( \
			x0, \
			_mm_xor_si128( \
				_mm_xor_si128( \
					x2, \
					_mm_srli_epi64(x2, 1)), \
				_mm_xor_si128( \
					_mm_srli_epi64(x2, 2), \
					_mm_srli_epi64(x2, 7)))); \
		x1 = _mm_xor_si128( \
			_mm_xor_si128( \
				x1, \
				_mm_slli_epi64(x2, 63)), \
			_mm_xor_si128( \
				_mm_slli_epi64(x2, 62), \
				_mm_slli_epi64(x2, 57))); \
	} while (0)"
419cdaaf-9b25-424a-b50f-04896f104618,SQUARE_F128,"do { \
		__m128i z0, z1, z2, z3; \
		z1 = pclmulqdq11(kw, kw); \
		z3 = pclmulqdq00(kw, kw); \
		z0 = _mm_shuffle_epi32(z1, 0x0E); \
		z2 = _mm_shuffle_epi32(z3, 0x0E); \
		SL_256(z0, z1, z2, z3); \
		REDUCE_F128(z0, z1, z2, z3); \
		PBK(z0, z1, dw, dx); \
	} while (0)"
