id,name,value
1c0e4a3a-2050-4bd0-b2bf-cfd7b816bbd6,T0_VBYTE,(unsigned char)((((uint32_t)(x) >> (n)) & 0x7F) | 0x80)
a1d2f484-55eb-4d60-91e5-38bf3ae063e4,T0_FBYTE,(unsigned char)(((uint32_t)(x) >> (n)) & 0x7F)
72f9f1ee-b041-42d6-bae9-12ba065fd88a,T0_SBYTE,(unsigned char)((((uint32_t)(x) >> 28) + 0xF8) ^ 0xF8)
de0ba851-603c-4c2d-9e3e-7b6f53eab106,T0_INT1,"T0_FBYTE(x, 0)"
ea13c6f1-72b8-438d-83f6-006273ef9a16,T0_INT2,"T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
75144171-def6-41ac-ae07-19c7d7a10ba5,T0_INT3,"T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
b08dafe7-7819-447d-b36d-653cc97c55f9,T0_INT4,"T0_VBYTE(x, 21), T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
e5e93a67-f82f-4894-b4f4-62e7f24b19e5,T0_INT5,"T0_SBYTE(x), T0_VBYTE(x, 21), T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
18bc136e-a4b2-40d2-8ce4-fac9cd67803c,ENG,"((br_ssl_engine_context *)(void *)((unsigned char *)t0ctx - offsetof(br_ssl_engine_context, cpu)))"
e36b3a99-fd05-41e7-8c30-3f5591dcf360,CTX,((br_ssl_server_context *)ENG)
eae95210-e006-4074-97ef-273022351349,T0_INTERPRETED,93
d9a13d72-2ab3-4c30-aef8-7511d1cf7988,T0_ENTER,"do { \
		const unsigned char *t0_newip; \
		uint32_t t0_lnum; \
		t0_newip = &t0_codeblock[t0_caddr[(slot) - T0_INTERPRETED]]; \
		t0_lnum = t0_parse7E_unsigned(&t0_newip); \
		(rp) += t0_lnum; \
		*((rp) ++) = (uint32_t)((ip) - &t0_codeblock[0]) + (t0_lnum << 16); \
		(ip) = t0_newip; \
	} while (0)"
ff522648-8efd-45b8-976e-8d8cc9889703,T0_DEFENTRY,"void \
name(void *ctx) \
{ \
	t0_context *t0ctx = ctx; \
	t0ctx->ip = &t0_codeblock[0]; \
	T0_ENTER(t0ctx->ip, t0ctx->rp, slot); \
}"
8e593c96-013f-4778-910a-f4c4836f1a8f,T0_NEXT,(*(*(t0ipp)) ++)
d03edbc2-dd2b-42cb-a2ef-9c1a1481c906,T0_LOCAL,(*(rp - 2 - (x)))
983c60e7-2599-4f42-98f3-293cb8665da7,T0_POP,(*-- dp)
81b16681-4ce2-4900-bef9-6c3dff03cf4d,T0_POPi,(*(int32_t *)(-- dp))
50489a61-ef1b-49ab-9c76-e4dbb37fe442,T0_PEEK,(*(dp - 1 - (x)))
71352f96-02d5-4485-88f9-a8e0ca063a6c,T0_PEEKi,(*(int32_t *)(dp - 1 - (x)))
87f5fdbb-c8d7-4006-9a4c-15d74d5d86c8,T0_PUSH,do { *dp = (v); dp ++; } while (0)
ed6aa5d3-6d43-4844-89a7-e78f20eb876e,T0_PUSHi,do { *(int32_t *)dp = (v); dp ++; } while (0)
bd710354-f9be-4f78-af2b-ac1e25688056,T0_RPOP,(*-- rp)
cc670d8f-38a2-4bf3-beb0-f1bd8804c261,T0_RPOPi,(*(int32_t *)(-- rp))
cba1452c-1e6e-4df8-8ffd-39bbeb1018bb,T0_RPUSH,do { *rp = (v); rp ++; } while (0)
78b21688-d300-43cf-ac00-6fe8fc21f65e,T0_RPUSHi,do { *(int32_t *)rp = (v); rp ++; } while (0)
2897c9ad-d2f9-48f1-b564-99ae0267b920,T0_ROLL,"do { \
	size_t t0len = (size_t)(x); \
	uint32_t t0tmp = *(dp - 1 - t0len); \
	memmove(dp - t0len - 1, dp - t0len, t0len * sizeof *dp); \
	*(dp - 1) = t0tmp; \
} while (0)"
a0afb998-d02c-4787-84f5-7e96a4462ebb,T0_SWAP,"do { \
	uint32_t t0tmp = *(dp - 2); \
	*(dp - 2) = *(dp - 1); \
	*(dp - 1) = t0tmp; \
} while (0)"
7d5f8f1f-37d7-4b7a-a7ff-22cfcafbfb4b,T0_ROT,"do { \
	uint32_t t0tmp = *(dp - 3); \
	*(dp - 3) = *(dp - 2); \
	*(dp - 2) = *(dp - 1); \
	*(dp - 1) = t0tmp; \
} while (0)"
729ba44b-43c1-4fe7-b0f3-b280bbae8863,T0_NROT,"do { \
	uint32_t t0tmp = *(dp - 1); \
	*(dp - 1) = *(dp - 2); \
	*(dp - 2) = *(dp - 3); \
	*(dp - 3) = t0tmp; \
} while (0)"
79204fb2-6e9a-47a1-a7cb-e0515b8b6a54,T0_PICK,"do { \
	uint32_t t0depth = (x); \
	T0_PUSH(T0_PEEK(t0depth)); \
} while (0)"
a39c7e6e-4ceb-4d80-8fa5-51b7e555aa85,T0_CO,"do { \
	goto t0_exit; \
} while (0)"
ffd47466-46ed-4036-aeae-a526759532e3,T0_RET,goto t0_next
