id,name,value
0d13469f-7201-4798-841d-4086deb588d6,T0_VBYTE,(unsigned char)((((uint32_t)(x) >> (n)) & 0x7F) | 0x80)
9f14918c-4c49-4459-8b78-7eab9babd466,T0_FBYTE,(unsigned char)(((uint32_t)(x) >> (n)) & 0x7F)
76d4465e-3fde-4b12-b299-d1657a070386,T0_SBYTE,(unsigned char)((((uint32_t)(x) >> 28) + 0xF8) ^ 0xF8)
400803ae-6b6a-40d5-8a0d-1c03a2ab176b,T0_INT1,"T0_FBYTE(x, 0)"
7a9f03af-5b98-4608-a59e-ddba9d85b9a9,T0_INT2,"T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
9d961278-359e-465a-b2b0-1748cd0bfd66,T0_INT3,"T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
656d1064-1f2f-44ca-9c55-a7455d9d837f,T0_INT4,"T0_VBYTE(x, 21), T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
e41e075f-7574-402b-ab1c-f00038809cac,T0_INT5,"T0_SBYTE(x), T0_VBYTE(x, 21), T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
aa2a9931-fa9e-40bf-a896-c15352cad584,CTX,"((br_x509_minimal_context *)(void *)((unsigned char *)t0ctx - offsetof(br_x509_minimal_context, cpu)))"
19e7e841-9351-4d62-a09e-c2f9851a6191,CONTEXT_NAME,br_x509_minimal_context
3581c6a8-e979-4955-b1bf-949a729d2405,DNHASH_LEN,((CTX->dn_hash_impl->desc >> BR_HASHDESC_OUT_OFF) & BR_HASHDESC_OUT_MASK)
95b9f82e-36d0-46c3-b708-9bdedc30844a,T0_INTERPRETED,60
198971e4-e273-43fc-9a8a-c4239fb47d5c,T0_ENTER,"do { \
		const unsigned char *t0_newip; \
		uint32_t t0_lnum; \
		t0_newip = &t0_codeblock[t0_caddr[(slot) - T0_INTERPRETED]]; \
		t0_lnum = t0_parse7E_unsigned(&t0_newip); \
		(rp) += t0_lnum; \
		*((rp) ++) = (uint32_t)((ip) - &t0_codeblock[0]) + (t0_lnum << 16); \
		(ip) = t0_newip; \
	} while (0)"
6106eb27-e637-458b-9b61-74237b9c6efb,T0_DEFENTRY,"void \
name(void *ctx) \
{ \
	t0_context *t0ctx = ctx; \
	t0ctx->ip = &t0_codeblock[0]; \
	T0_ENTER(t0ctx->ip, t0ctx->rp, slot); \
}"
4c525e65-24c9-498e-b4de-c25d8c622303,T0_NEXT,(*(*(t0ipp)) ++)
03185839-7d52-437b-a7e2-22656892dab7,T0_LOCAL,(*(rp - 2 - (x)))
dd43d12e-4901-48e7-b404-c1d2bbd23868,T0_POP,(*-- dp)
f7c82eeb-2d3e-479e-a5c0-94d17279ab03,T0_POPi,(*(int32_t *)(-- dp))
1bf6fa9d-73a6-47b6-93aa-aecec39c728a,T0_PEEK,(*(dp - 1 - (x)))
c5e165c0-3c3c-49d9-b45f-a19c941491a3,T0_PEEKi,(*(int32_t *)(dp - 1 - (x)))
4fe4efb4-efbb-47a9-86d4-1faac2b1be33,T0_PUSH,do { *dp = (v); dp ++; } while (0)
a586281e-4a63-45eb-b7de-62d15941d720,T0_PUSHi,do { *(int32_t *)dp = (v); dp ++; } while (0)
42ad37fe-d46e-4f13-a250-9f3dccd14e24,T0_RPOP,(*-- rp)
f2df89b4-2ee1-4816-a052-15a255c1b6b0,T0_RPOPi,(*(int32_t *)(-- rp))
2d1d067a-f458-4c7c-9302-4036f7b60b27,T0_RPUSH,do { *rp = (v); rp ++; } while (0)
f64d21cf-c05b-48c9-8e49-f2705db3ac3d,T0_RPUSHi,do { *(int32_t *)rp = (v); rp ++; } while (0)
d821163e-1010-473d-b26c-3419bfa05d41,T0_ROLL,"do { \
	size_t t0len = (size_t)(x); \
	uint32_t t0tmp = *(dp - 1 - t0len); \
	memmove(dp - t0len - 1, dp - t0len, t0len * sizeof *dp); \
	*(dp - 1) = t0tmp; \
} while (0)"
934f3959-722d-4819-9d2f-4cea02d3edfe,T0_SWAP,"do { \
	uint32_t t0tmp = *(dp - 2); \
	*(dp - 2) = *(dp - 1); \
	*(dp - 1) = t0tmp; \
} while (0)"
51f0e4a2-0eab-4abd-b4ab-8cc4f8b0eca7,T0_ROT,"do { \
	uint32_t t0tmp = *(dp - 3); \
	*(dp - 3) = *(dp - 2); \
	*(dp - 2) = *(dp - 1); \
	*(dp - 1) = t0tmp; \
} while (0)"
3c770d64-7869-401e-8cce-c54608457dc1,T0_NROT,"do { \
	uint32_t t0tmp = *(dp - 1); \
	*(dp - 1) = *(dp - 2); \
	*(dp - 2) = *(dp - 3); \
	*(dp - 3) = t0tmp; \
} while (0)"
771eff1e-62cc-47bc-ae71-3dde32369814,T0_PICK,"do { \
	uint32_t t0depth = (x); \
	T0_PUSH(T0_PEEK(t0depth)); \
} while (0)"
0eb6522e-4d3e-4ead-b918-887e2160bc10,T0_CO,"do { \
	goto t0_exit; \
} while (0)"
3dc21896-43df-40ff-a05b-5dee60441345,T0_RET,goto t0_next
