id,name,value
abca4a45-188a-4746-8179-4e0e6af87281,INT64_FORMAT,PRId64
bfe1d506-7e84-465a-8f97-e3eb5b71d86d,UINT64_FORMAT,PRIu64
b6f81219-ed87-4218-b60d-f98bf8ee7597,INT64_HEX_FORMAT,PRIx64
f7954f38-73a5-4b96-84d5-3505608f7344,UNUSED,(void) (x)
3d7fb79e-a7e0-4bdf-8b12-cd8408e22aa5,round,dbl >= 0.0 ? (int) (dbl + 0.5) : ((dbl - (double) (int) dbl) <= -0.5 ? (int) dbl : (int) (dbl - 0.5))
0bc5c8cd-3b74-4f42-b65f-5c899ccadcc7,CHUNK_SIZE,256
310bfddc-d6cf-479e-8aff-984ab81016b1,BINN_STRUCT,1
91be93a5-0ab7-4924-b595-9b9c3bc76c26,BINN_BUFFER,2
786b6204-dd5b-4318-a192-25a62dd97247,__BIG_ENDIAN,0x1000
fcb73c3c-19d8-49a0-8750-938650ccd613,__LITTLE_ENDIAN,0x0001
5e6e5775-f217-4610-81c8-351774336a95,__BYTE_ORDER,__LITTLE_ENDIAN
64cd7f40-428c-4918-8184-6fc6630c5073,__BIG_ENDIAN,BIG_ENDIAN
b531c924-104b-46ff-9b68-719da54cb4e7,__LITTLE_ENDIAN,LITTLE_ENDIAN
ee51ef6a-7cb3-47a9-8909-c31a6eb4e215,__BYTE_ORDER,BYTE_ORDER
606f321e-3e49-464a-8f5c-82fb99aa46fc,__BIG_ENDIAN,BIG_ENDIAN
15c31c6f-ea78-407d-9dfb-19b3beab8a09,__LITTLE_ENDIAN,LITTLE_ENDIAN
ddcc11aa-d584-44c6-aa1d-5b76dc44e8b6,__BYTE_ORDER,BYTE_ORDER
324dda63-b9bf-4f8c-bade-9ecefae64971,tobe16,(x)
72da6b0d-a5ff-4bc2-af89-1b4ae5e31f94,tobe32,(x)
b8f81afd-b4a3-4f75-9d85-6d413fa9a0eb,tobe64,(x)
f205f1b0-a97b-42c2-a5d4-ed3e2dbbbff4,tobe16,IW_SWAB16(x)
b842d036-15a4-4c7a-8f94-f072790a651b,tobe32,IW_SWAB32(x)
06cb9957-ca67-47da-b681-1fe03783cf48,tobe64,IW_SWAB64(x)
8376eb24-bd14-4dc5-82fa-0ad03d08c50d,frombe16,tobe16
62b5fcd3-ea54-4ad4-bcfb-a2bc518f95bf,frombe32,tobe32
2053126a-d2a8-4809-a27d-411a70f6647b,frombe64,tobe64
82df8db5-e56a-4c76-9dd8-c5fbf75fcc03,stricmp,strcasecmp
f66f29fd-384c-4118-8038-cfac54148057,strnicmp,strncasecmp
c5e7c861-6749-41f7-b44c-835722ad80ed,atoi64,_atoi64
