id,name,value
589018b4-794f-4550-b3b1-99d274fa6a1e,I15_LEN,((BR_MAX_EC_SIZE + 29) / 15)
804f76a5-238d-421b-a26e-4a5f8a557c2f,MSET,(0x0000 + ((d) << 8) + ((a) << 4))
fb30ffee-e535-4cf5-8922-016f4dc7dd5f,MADD,(0x1000 + ((d) << 8) + ((a) << 4))
f732941f-2a47-4557-bfdb-c5e15ab469b7,MSUB,(0x2000 + ((d) << 8) + ((a) << 4))
df8c36f2-6786-40b3-848c-eef32b05bc54,MMUL,(0x3000 + ((d) << 8) + ((a) << 4) + (b))
0541ae8e-d009-4ca9-895f-b298d7f414a5,MINV,(0x4000 + ((d) << 8) + ((a) << 4) + (b))
7095d4f8-e30a-4811-9639-f3e3a0ec0b9a,MTZ,(0x5000 + ((d) << 8))
ce142c3e-20bc-44a1-a003-676384c56ae3,ENDCODE,0
6a3a00d6-469a-464a-bd57-39333fed1229,P1x,0
ec0e6fcb-ca49-4f7f-aee4-af5791b432a9,P1y,1
36bb4f17-5564-453d-ac79-62a874f6fe22,P1z,2
6b6264eb-cbe1-4a31-8396-ff2216396dee,P2x,3
f0cbdafa-8a97-4c7c-ba58-e518f303d7be,P2y,4
148cee3b-71f5-4af5-9907-c12338d4e66b,P2z,5
84a17a95-1bbd-42b7-b9eb-c496bbf74921,Px,0
fdcc7bc9-c942-46d0-8737-922e5c334563,Py,1
17020e5e-7286-4204-9e98-ea575e5ea5a2,Pz,2
d2133824-d1e8-4a8c-9543-80887b165121,t1,6
e04f8cb5-61b4-44ea-b2eb-a3d3aed9ed6c,t2,7
afab2332-f952-4142-aea6-86a46996a7bd,t3,8
d8af81db-96c6-4157-8d28-a2e5800da9d3,t4,9
1e933ab7-2ae2-4e76-8aef-8f4636b39379,t5,10
f72302e1-b9ff-4671-b7c4-dd53f5e79fe4,t6,11
8b5ab30b-b76b-4e9d-9ca5-e0935e349691,t7,12
086e98fa-77cb-4327-9a3b-99794c220577,t8,3
2a916048-7a82-4d7f-bafa-ccaff289f42c,t9,4
fe73be5f-bf98-4801-903d-b95fdf230aad,t10,5
