id,name,value
6f54fdb4-d1f1-4b0c-a3d4-42585d59d9a3,CH,((((Y) ^ (Z)) & (X)) ^ (Z))
8ef6f4d2-0701-4b9b-8700-1b057bf1bbd7,MAJ,(((Y) & (Z)) | (((Y) | (Z)) & (X)))
0f540a23-6f4a-4dbc-9037-28cbbbeb9362,ROTR,(((uint32_t)(x) << (32 - (n))) | ((uint32_t)(x) >> (n)))
043e3875-58f5-4999-b5de-574a2c0414e6,BSG2_0,"(ROTR(x, 2) ^ ROTR(x, 13) ^ ROTR(x, 22))"
572663da-ecd3-4f73-a6a1-ac770ae64162,BSG2_1,"(ROTR(x, 6) ^ ROTR(x, 11) ^ ROTR(x, 25))"
bd975189-39e4-4943-9e24-f33642b6cb7e,SSG2_0,"(ROTR(x, 7) ^ ROTR(x, 18) ^ (uint32_t)((x) >> 3))"
60630c96-bf3a-4c01-b31d-cfd86bee09ff,SSG2_1,"(ROTR(x, 17) ^ ROTR(x, 19) ^ (uint32_t)((x) >> 10))"
700ab2c5-d7e9-4fc5-8773-f45dfbb2b11f,SHA2_STEP,"do { \
		uint32_t T1, T2; \
		T1 = H + BSG2_1(E) + CH(E, F, G) + K[j] + w[j]; \
		T2 = BSG2_0(A) + MAJ(A, B, C); \
		D += T1; \
		H = T1 + T2; \
	} while (0)"
b179bcb4-2056-43ba-a2af-8be97aba4b23,SHA2_MEXP1,"do { \
		W[pc] = br_dec32be(buf + ((pc) << 2)); \
	} while (0)"
fd8a2a15-a35d-4d4c-937f-e35763fda47c,SHA2_MEXP2,"do { \
		W[(pc) & 0x0F] = SSG2_1(W[((pc) - 2) & 0x0F]) \
			+ W[((pc) - 7) & 0x0F] \
			+ SSG2_0(W[((pc) - 15) & 0x0F]) + W[(pc) & 0x0F]; \
	} while (0)"
fd5836e7-4a47-4571-b141-3500c3574e1e,SHA2_STEPn,"do { \
		uint32_t t1, t2; \
		SHA2_MEXP ## n(pc); \
		t1 = h + BSG2_1(e) + CH(e, f, g) \
			+ K[pcount + (pc)] + W[(pc) & 0x0F]; \
		t2 = BSG2_0(a) + MAJ(a, b, c); \
		d += t1; \
		h = t1 + t2; \
	} while (0)"
22b6ace0-0894-4b92-8d90-ada6b4b38448,SHA2_STEP1,"SHA2_STEPn(1, a, b, c, d, e, f, g, h, pc)"
27a18424-c938-4cd4-b097-0f415fa5c47b,SHA2_STEP2,"SHA2_STEPn(2, a, b, c, d, e, f, g, h, pc)"
