id,name,value
559aa3d4-a7c0-4823-b12f-636bf3d3117a,T0_VBYTE,(unsigned char)((((uint32_t)(x) >> (n)) & 0x7F) | 0x80)
e4832fae-2bbc-49a0-b2d5-1c765141145c,T0_FBYTE,(unsigned char)(((uint32_t)(x) >> (n)) & 0x7F)
22b511bb-052d-489b-b904-c3d86992d1ad,T0_SBYTE,(unsigned char)((((uint32_t)(x) >> 28) + 0xF8) ^ 0xF8)
712dc454-eb3a-4260-a670-a60d7ff9e192,T0_INT1,"T0_FBYTE(x, 0)"
8b5492aa-7a92-49ae-9f99-06ccf23b29b4,T0_INT2,"T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
965ee0fa-ce27-4867-b0c6-6f6b221f782b,T0_INT3,"T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
258d4277-9a94-4d8c-83a0-d860ddd5848d,T0_INT4,"T0_VBYTE(x, 21), T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
c264e982-ef41-4e5c-a34a-5977db0dd868,T0_INT5,"T0_SBYTE(x), T0_VBYTE(x, 21), T0_VBYTE(x, 14), T0_VBYTE(x, 7), T0_FBYTE(x, 0)"
1e65af29-4d54-41ff-88f8-1caa8235a5a0,CTX,"((br_x509_decoder_context *)(void *)((unsigned char *)t0ctx - offsetof(br_x509_decoder_context, cpu)))"
319bb866-5e70-4b28-b4a3-5e4d659da3dd,CONTEXT_NAME,br_x509_decoder_context
a1579539-c8d2-4ada-aa06-63de37dbf9d1,T0_INTERPRETED,39
d8adadd7-efce-4643-9302-5e41d27abad5,T0_ENTER,"do { \
		const unsigned char *t0_newip; \
		uint32_t t0_lnum; \
		t0_newip = &t0_codeblock[t0_caddr[(slot) - T0_INTERPRETED]]; \
		t0_lnum = t0_parse7E_unsigned(&t0_newip); \
		(rp) += t0_lnum; \
		*((rp) ++) = (uint32_t)((ip) - &t0_codeblock[0]) + (t0_lnum << 16); \
		(ip) = t0_newip; \
	} while (0)"
1feff9df-8bab-45a7-bebd-c25d3ed3d88d,T0_DEFENTRY,"void \
name(void *ctx) \
{ \
	t0_context *t0ctx = ctx; \
	t0ctx->ip = &t0_codeblock[0]; \
	T0_ENTER(t0ctx->ip, t0ctx->rp, slot); \
}"
30a55ad6-4412-45f0-8f0d-f1657725de74,T0_NEXT,(*(*(t0ipp)) ++)
ea8cd875-f0dd-426d-9497-fcb76461e298,T0_LOCAL,(*(rp - 2 - (x)))
54ff1091-c106-4073-9224-32d25f81077e,T0_POP,(*-- dp)
ba289e72-0892-4cc3-bfa7-13c64998f6e1,T0_POPi,(*(int32_t *)(-- dp))
0c6fd2ab-709e-4532-ad60-5ea995a5d680,T0_PEEK,(*(dp - 1 - (x)))
414cefd1-f4d7-4269-97cb-7a0146371348,T0_PEEKi,(*(int32_t *)(dp - 1 - (x)))
fb8f4880-a293-4241-a3b8-203fe8a0c456,T0_PUSH,do { *dp = (v); dp ++; } while (0)
c50d524d-9dbb-49fd-a5c9-7e7ca8ed5c0f,T0_PUSHi,do { *(int32_t *)dp = (v); dp ++; } while (0)
58cbcb09-9971-4eed-aabf-6d6dc92b20c4,T0_RPOP,(*-- rp)
21541fc5-3d66-46f8-b3f9-48d8e5844012,T0_RPOPi,(*(int32_t *)(-- rp))
0f487ec8-1d53-4603-8813-7f494da8a2cb,T0_RPUSH,do { *rp = (v); rp ++; } while (0)
06987a82-2931-4860-b825-60a605c919cf,T0_RPUSHi,do { *(int32_t *)rp = (v); rp ++; } while (0)
c19c6030-5f48-4381-9560-4db0f6bb32f2,T0_ROLL,"do { \
	size_t t0len = (size_t)(x); \
	uint32_t t0tmp = *(dp - 1 - t0len); \
	memmove(dp - t0len - 1, dp - t0len, t0len * sizeof *dp); \
	*(dp - 1) = t0tmp; \
} while (0)"
cd175172-e3d6-4907-9f8a-1dcda04c31ec,T0_SWAP,"do { \
	uint32_t t0tmp = *(dp - 2); \
	*(dp - 2) = *(dp - 1); \
	*(dp - 1) = t0tmp; \
} while (0)"
0ecafb23-8841-4c62-96f4-9261e17e3a7f,T0_ROT,"do { \
	uint32_t t0tmp = *(dp - 3); \
	*(dp - 3) = *(dp - 2); \
	*(dp - 2) = *(dp - 1); \
	*(dp - 1) = t0tmp; \
} while (0)"
6226c2e6-7be9-4f45-9779-bb01416947b2,T0_NROT,"do { \
	uint32_t t0tmp = *(dp - 1); \
	*(dp - 1) = *(dp - 2); \
	*(dp - 2) = *(dp - 3); \
	*(dp - 3) = t0tmp; \
} while (0)"
c6883bf9-0c72-4ee7-b0d1-c3dc79bfb0d8,T0_PICK,"do { \
	uint32_t t0depth = (x); \
	T0_PUSH(T0_PEEK(t0depth)); \
} while (0)"
c253a787-46b5-48aa-9f37-099721a9464a,T0_CO,"do { \
	goto t0_exit; \
} while (0)"
cf03f84a-5fa1-4bb9-8a95-231eb47ad9bb,T0_RET,goto t0_next
