id,name,value
b04dc8d5-e41c-4ee3-b8ba-56c09f2a010a,NAPI_EXPERIMENTAL,
5d8ac95f-4437-4d32-a929-e42d272b801b,STR_HELPER,#x
dbed8b9e-1747-4a75-92a1-0d3aa7d69047,STR,STR_HELPER(x)
db81853d-3ab0-4183-9aeb-3e1ec72f8c18,JNTHROW,"jn_throw_error(env, rc, ""ejdb2_node.c"" "":"" STR(__LINE__), message)"
dd5005f2-d57b-400c-93c4-3e80f2624bfd,JNTHROW_LAST,"do {                         \
    const napi_extended_error_info *info = 0;          \
    napi_get_last_error_info((env), &info);            \
    if (info) JNTHROW((env), 0, info->error_message);  \
} while (0)"
aa850877-9f9a-48f3-8f3f-26d3095d87be,JNCHECK,"do {                   \
    if (ns && ns != napi_pending_exception) {   \
      JNTHROW_LAST(env);                        \
    }                                           \
} while (0)"
7bda5d01-8192-4a26-af6e-4f52088ee69c,JNRC,"do {                      \
    if (rc && !jn_is_exception_pending(env)) {  \
      JNTHROW(env, rc, 0);                      \
    }                                           \
} while (0)"
e71761e1-0e7d-4848-ad24-ecd29cef1a64,JNRET,"do {          \
    ns = (call);                                \
    if (ns) {                                   \
      if (ns != napi_pending_exception) {       \
        JNTHROW_LAST(env);                      \
      }                                         \
      return (res);                             \
    }                                           \
} while (0)"
e6df37a9-a3ec-4327-aabe-8a51062b6626,JNGO,"do {         \
    ns = (call);                                \
    if (ns) {                                   \
      if (ns != napi_pending_exception) {       \
        JNTHROW_LAST(env);                      \
      }                                         \
      goto label;                               \
    }                                           \
} while (0)"
631d0913-0190-480c-b909-6cf2454083fc,JNFUNC,"{#func, 0, jn_ ## func, 0, 0, 0, napi_default, 0 }"
1ed493ae-8f12-402f-8b53-145d1c71ed11,JNVAL,"{#name, 0, 0, 0, 0, value, napi_default, 0 }"
