id,name,value
9d5a7fd9-9c19-4086-9cf4-f33edb595f24,YYRULECOUNT,63
b3b7c1eb-b26d-4bf1-8504-d8bf45ffaf1a,YY_CTX_LOCAL,1
75f32227-e9ee-4ffb-8c7f-039c5dbb9ea6,YY_CTX_MEMBERS,JQP_AUX *aux;
e8690929-4379-4e40-90ed-02e18a041099,YYSTYPE,JQPUNIT*
4ecbcc3b-9360-42f5-94f0-737d7ebf7527,YY_MALLOC,"_jqp_malloc(yy_, sz_)"
a51a3443-085d-425d-a9ca-1db738d98fcb,YY_REALLOC,"_jqp_realloc(yy_, ptr_, sz_)"
fafdd25f-9cb0-4ee1-9787-218844c8759c,YY_INPUT,"{	                                                    \
    JQP_AUX *aux = (yy_)->aux;                           \
    if (aux->rc || *(aux->buf + aux->pos) == '\0') {    \
      result_ = 0;                                      \
    } else {                                            \
      char ch = *(aux->buf + aux->pos++);               \
      result_ = 1;                                      \
      *(buf_)= ch;                                      \
    }                                                   \
  }"
3e49eda9-8ded-4b52-b7e1-a1f5f83e9691,YY_MALLOC,malloc(N)
dbe57db3-554a-458a-8448-9d7a9c9d79dc,YY_REALLOC,"realloc(P, N)"
edf6dd19-dda3-47ed-8d4e-c8103a0037ad,YY_FREE,free(P)
4c2de04d-68a2-4609-a62d-8388fc361f66,YY_LOCAL,static T
d9daadea-46cf-48aa-9795-1975d871cb33,YY_ACTION,static T
211f9bbe-9d98-4b00-ae97-412b8b20f186,YY_RULE,static T
7ea1c00c-0eb9-4ccd-8f63-eaacfbbbc4ec,YY_PARSE,T
d2a6ea0f-dd36-41fc-a1c4-815fd78a9206,YYPARSE,yyparse
0c12e0ec-29e5-4249-ab1b-79420e36640e,YYPARSEFROM,yyparsefrom
80a8afa6-2bb1-480b-9b51-f7299fd41776,YYRELEASE,yyrelease
b2166bed-45b8-45fc-8f1e-24e48d1e9925,YY_BEGIN,"( yy->__begin= yy->__pos, 1)"
e8634c90-bd7c-46a5-94c7-a8f658962842,YY_END,"( yy->__end= yy->__pos, 1)"
ae4e40e2-f5f3-4532-b6c0-62086d809805,yyprintf,fprintf args
2b27c90b-9b29-4880-90e6-1f42b0798807,yyprintf,
aef0515b-f687-4388-a34e-241065608241,YYSTYPE,int
e4a3fb5f-7bdd-4aec-9c84-d0f58edd16df,YY_STACK_SIZE,128
87680e94-8da4-4af7-a8b1-ffed4bd717dd,YY_BUFFER_SIZE,1024
28e0b4f6-0e2d-47bf-bc10-f8ab94c42e14,YY_CTX_PARAM_,"yycontext *yyctx,"
a293a75d-570f-419d-a47a-4d36018524e9,YY_CTX_PARAM,yycontext *yyctx
c446681b-9b12-4171-9960-d60a11c61745,YY_CTX_ARG_,"yyctx,"
44791d78-23ed-4e54-9e98-266042b845b7,YY_CTX_ARG,yyctx
832c1bc3-13db-49b9-a66b-a5d31af12d36,YY_INPUT,"{							\
    int yyc= getchar();					\
    result= (EOF == yyc) ? 0 : (*(buf)= yyc, 1);	\
    yyprintf((stderr, ""<%c>"", yyc));			\
  }"
8f2ca305-fede-4ebb-84e7-900dbd05c475,YY_CTX_PARAM_,
70b269c2-a1e9-4dd5-ae85-9fcedcf52b44,YY_CTX_PARAM,
a87d3f84-fe4d-4217-85a1-57fb6eff3b4c,YY_CTX_ARG_,
2c07285f-ad02-4a5e-b195-cc5bf67a6bff,YY_CTX_ARG,
c94dc57a-9dbb-4b84-85d9-a2bb9f9c8367,YY_INPUT,"{							\
    int yyc= getchar();					\
    result= (EOF == yyc) ? 0 : (*(buf)= yyc, 1);	\
    yyprintf((stderr, ""<%c>"", yyc));			\
  }"
101c8e61-3120-4d87-8495-2556e7b14c46,YYACCEPT,"yyAccept(yy, yythunkpos0)"
144db815-0ecb-43bb-bd01-dabb10c68634,v,yy->__val[-1]
50e10041-64ff-4cb6-9b80-f6b70cbeaa7f,fv,yy->__val[-2]
69bb3320-ed50-4d79-947e-abfbad43f623,s,yy->__val[-3]
e3f05199-5bcd-4811-bcf6-e4eaad8eea68,__,yy->__
9ae14a83-7e39-4857-aace-92e79a025966,yypos,yy->__pos
a971b850-afa4-49a2-aec1-485755b2a03b,yythunkpos,yy->__thunkpos
8f2a3589-3640-4903-9094-e079ff2bb306,v,yy->__val[-1]
12ee142e-c456-4035-a774-0d97070e9e66,fv,yy->__val[-2]
ce687527-5b03-4eee-8d60-1570c211300d,s,yy->__val[-3]
75ca78c7-ed62-4af7-9b26-cc3f44bdeb04,__,yy->__
8bbe5967-3c90-4154-a021-11eab7ec9215,yypos,yy->__pos
40464315-ceda-44e3-a91e-9922a9960f3f,yythunkpos,yy->__thunkpos
716e9000-364e-4e69-b449-2a9859103540,v,yy->__val[-1]
98c433ef-807c-4c26-8256-af1164444eca,fv,yy->__val[-2]
072fb690-2444-424c-bc8a-e56bd75b5477,s,yy->__val[-3]
de1b99ae-4e04-40cc-b76c-c9113d54371c,__,yy->__
97079974-80f2-4fab-b955-535b69545f09,yypos,yy->__pos
0933cfa5-b3fd-4aed-bf28-c3fd27fbd3f5,yythunkpos,yy->__thunkpos
975279a9-173b-4c1f-aa54-f13a29a80744,v,yy->__val[-1]
5243fa49-6625-4f99-aa26-197db6b324d5,fv,yy->__val[-2]
daa4f9ad-914b-4a3a-a505-5ea70c80560b,s,yy->__val[-3]
1c32f7d9-e982-4a10-b310-9b895780849c,__,yy->__
04c1677d-cd60-4583-bcf5-0e91843238ca,yypos,yy->__pos
018c39b2-87b0-469d-add5-7bf15aac5644,yythunkpos,yy->__thunkpos
5b14b8e2-0fe0-4c2b-96ae-fb14a982fa3a,__,yy->__
85a47a9d-f23d-456b-9132-03826b2a79fa,yypos,yy->__pos
e31fcee5-6f6c-40db-8254-da4e9571faca,yythunkpos,yy->__thunkpos
45d5cf21-5bc5-4763-ba91-21a87c9a21b8,__,yy->__
0f03cb40-a9c4-4e41-955d-01ce34f0dd2f,yypos,yy->__pos
91f7a2f4-3129-472c-9a86-46e7c81e4d0b,yythunkpos,yy->__thunkpos
62eed029-f9f4-4b39-b4e6-87742851721c,__,yy->__
b038761f-283d-4be4-a483-a2fbb73058c3,yypos,yy->__pos
aed26471-acfb-4571-a305-49c6fee472c6,yythunkpos,yy->__thunkpos
59a2b579-a84d-4a7a-bd03-a94c8c1d6c9c,__,yy->__
9aa0da6e-a4b2-407a-a033-22f059da064a,yypos,yy->__pos
b7329350-86f4-4025-afd6-c18def6bfd38,yythunkpos,yy->__thunkpos
3f5807d7-4052-40dc-a54e-646444e0f774,__,yy->__
e0805e04-2050-4573-ac52-13271ca2efaf,yypos,yy->__pos
2d8bb9b1-6d2d-4b10-aeba-b752bbea919c,yythunkpos,yy->__thunkpos
2ccc4f80-4cb7-4b66-b16d-4c98113c2492,__,yy->__
3b3b9464-b66a-4b12-b855-1ab090541002,yypos,yy->__pos
6b2592ee-6af7-41c8-a3bb-2f576e260cbe,yythunkpos,yy->__thunkpos
cbac185f-e62b-4c93-a67b-0ee0ae365b10,v,yy->__val[-1]
f80d84ea-b5c9-4c65-aa74-a746a99eedd8,s,yy->__val[-2]
7fbb24f1-3fad-466b-abf5-51a3d85a929e,__,yy->__
1f2008fb-a898-4393-bad0-80be22b810fa,yypos,yy->__pos
96063723-f580-4cac-adf2-cd3d3b5ee19c,yythunkpos,yy->__thunkpos
3b123b5b-e2f9-4e1a-bf17-3be2fceef894,__,yy->__
9c92d44c-e994-4536-a9b1-affc6df5e930,yypos,yy->__pos
b4b42b56-dcf6-420a-9de7-418cef8b1ef0,yythunkpos,yy->__thunkpos
09205af5-651c-4e05-8e3f-42b2805d362b,__,yy->__
54938d8f-27d0-49da-8e16-4591083bdbab,yypos,yy->__pos
427d9285-f0cc-4a53-9acb-7b9d67ac57fa,yythunkpos,yy->__thunkpos
60e1c470-2d99-44f7-bef2-e56f7981397f,v,yy->__val[-1]
dae59b06-b301-4d93-8052-74713ceaa344,fv,yy->__val[-2]
ee17fffd-7434-4ccc-b3e6-5a73a06fd9db,s,yy->__val[-3]
e8dcff13-1ee7-4593-9abd-380c2b6378c2,__,yy->__
b2f6502e-88ec-411b-9319-be00a15c0314,yypos,yy->__pos
2a6942bb-9f85-43ce-8584-986ce0bb8eed,yythunkpos,yy->__thunkpos
95b1368e-7617-453c-b02d-c53887e116f0,v,yy->__val[-1]
d63042ab-23d3-41d3-91bf-4531a7c7c0dd,fv,yy->__val[-2]
b97e72d6-da97-418c-ab42-b0ca4d26cc9e,s,yy->__val[-3]
6272436e-ceac-4528-9968-0f8b9cf75ddc,__,yy->__
c611b78a-832f-49ad-a0e5-39c74057d27f,yypos,yy->__pos
a73ed019-2e91-4d6f-85cb-f9f927768b35,yythunkpos,yy->__thunkpos
7afbd97d-f79a-48f2-8655-04c9f674449a,v,yy->__val[-1]
398314ff-296b-4473-85d2-675f15c2c396,fv,yy->__val[-2]
e424128d-54c1-4251-9c81-c1028cceff24,s,yy->__val[-3]
9fb2eb6b-c8c2-4ec2-8a0d-e9fed692890e,__,yy->__
c866bad2-d21c-4716-881b-718ee13e9a48,yypos,yy->__pos
2c0d159c-cf25-40ee-a8a8-1604e819d219,yythunkpos,yy->__thunkpos
bdf7a31e-7116-48bd-9214-2c349fc04ada,v,yy->__val[-1]
09ca8306-a822-4538-adca-c356c0fdcb5a,fv,yy->__val[-2]
f42e053b-3431-4d72-a90e-cd8249aa6e3e,s,yy->__val[-3]
f59e9b2b-7566-4b52-b9ce-388d8f1036af,__,yy->__
f4504b0a-bf9b-48ab-819a-08fdf6e98765,yypos,yy->__pos
0062a00a-112c-4c7a-8fe0-5d539dfe2f6f,yythunkpos,yy->__thunkpos
ddad67f3-0afc-483c-9630-55718a4791cd,p,yy->__val[-1]
98b350ef-ffd0-4e44-a8e8-448dd856f063,fp,yy->__val[-2]
ba457640-61a9-4e04-afe1-d17242eb1692,s,yy->__val[-3]
a7b2920f-cca2-4b4f-92f4-5646457f6279,__,yy->__
7a830afe-de9e-4792-979a-f7affc53455f,yypos,yy->__pos
6001593f-e45a-40c0-8ee1-139692759010,yythunkpos,yy->__thunkpos
7793281a-09d6-4543-826a-4d5a9bfca953,p,yy->__val[-1]
ffd2b41e-c804-4d7d-bae0-02d8451fca9f,fp,yy->__val[-2]
71c998cf-8288-4b16-8b0b-38862d463ca8,s,yy->__val[-3]
0309f00f-d38c-4f2e-8bde-dfd82caf490a,__,yy->__
1aaaf1d4-5553-4e9a-9fe9-3398d45a798e,yypos,yy->__pos
dcfe2812-9845-4006-8618-958f314d55bb,yythunkpos,yy->__thunkpos
f56e0876-e3b2-4cd4-9ee1-4bd872beea7b,p,yy->__val[-1]
56c02468-ab96-4569-b5c4-08e0081a6283,fp,yy->__val[-2]
98c256eb-38a4-49cd-b241-7e4325b639e3,s,yy->__val[-3]
8177a860-49bb-4d8a-9092-4cc72fe4a97f,__,yy->__
d5981a85-89b4-4015-82fb-8d73cbad93bc,yypos,yy->__pos
480ef2f5-ad15-4a3f-9270-a8cbf0ab2e3d,yythunkpos,yy->__thunkpos
5180da59-3cb4-4fbc-be48-2e123ac68956,p,yy->__val[-1]
693b6fdc-b995-4a46-b1d2-ad471c946a24,fp,yy->__val[-2]
fc0bda68-6f69-44fc-a8b7-3371d11f15a7,s,yy->__val[-3]
74795fe7-cfc5-451b-8ee3-065dde3e8c7d,__,yy->__
d1272945-9ecc-40ed-b814-02f370dd1125,yypos,yy->__pos
c8136ced-74f2-4d39-a0bc-947b9da6cd5d,yythunkpos,yy->__thunkpos
b0e8f76c-b396-45b9-b825-45d9bf0f7693,__,yy->__
71afcfb4-53df-4d7d-b2a8-090f05d86efb,yypos,yy->__pos
197b9cf4-5fdd-4470-abd8-ff259b055915,yythunkpos,yy->__thunkpos
5f67d4a9-34b3-4cbb-b4e1-515030b481f7,__,yy->__
7b6d31c5-8a3b-4464-a48b-eeca99180a0e,yypos,yy->__pos
720791f8-6410-4200-b35d-6aeca4385cb9,yythunkpos,yy->__thunkpos
e3d54458-7b0a-454f-8dd1-4d106b2409c5,__,yy->__
ede924be-6066-4ede-810c-744b65cacae3,yypos,yy->__pos
2d8806ca-f842-4bb6-985d-19d69b1ce9a4,yythunkpos,yy->__thunkpos
7531063d-eb64-4951-81c1-02a8b3b3901b,__,yy->__
e1088ec1-5263-451a-9fee-7b4608ff6b86,yypos,yy->__pos
be5ea8b4-4833-4973-92f0-098b0229b7b1,yythunkpos,yy->__thunkpos
74794607-f031-437c-bc3f-cb4002739145,__,yy->__
de472624-d4b3-4ef8-80ee-a12f5255896b,yypos,yy->__pos
92bb616a-7681-480c-ac12-a9f6b8ae08cd,yythunkpos,yy->__thunkpos
61cbb5ba-51ec-4b53-960c-a4a7ed6d1771,__,yy->__
29d0b61b-3374-4599-9f48-11e156587c2d,yypos,yy->__pos
35bd5a54-abed-4112-a734-bd61aaed17b9,yythunkpos,yy->__thunkpos
9abf4514-7fd2-4473-90b7-96b8af718164,__,yy->__
3a04e382-7544-4c80-a045-324cd149a7fd,yypos,yy->__pos
7ed9002d-e441-43ac-b8ce-4eb22e0ca0e1,yythunkpos,yy->__thunkpos
1b8dd46c-7fb0-4ca0-8fff-9562dbe88920,__,yy->__
514c93ed-f364-4e30-9e6a-0fe4fb1ef3df,yypos,yy->__pos
